"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_109","Seq_109",0.255496223161094,1.23264517271522,"Proteobacteria","Gammaproteobacteria","R7C24","Unclassified","Unclassified"
"Seq_83","Seq_83",0.305896168542946,1.19723672853801,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_124","Seq_124",0.199871960487162,1.12648628793181,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Seq_131","Seq_131",0.19333858224919,1.02886883848903,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_6","Seq_6",1.81334163965057,1.02641703652816,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_174","Seq_174",0.125392218482595,1.01925647972063,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_786","Seq_786",0.0234068676893627,-1.00269384095523,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_664","Seq_664",0.0293909167793629,0.997777228112213,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_112","Seq_112",0.207627951148166,-0.990948860855962,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_801","Seq_801",0.0260495932872253,0.990083105795995,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_1153","Seq_1153",0.0144315623876136,0.983706174364644,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"Seq_763","Seq_763",0.0258160278287209,0.913144613039321,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus"
"Seq_1094","Seq_1094",0.0146162733017057,0.905660615960618,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_876","Seq_876",0.0223988856744113,0.889940719929383,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_223","Seq_223",0.102100716694997,0.880923713793488,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_235","Seq_235",0.0991246281958717,-0.854455554509702,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_52","Seq_52",0.36721492608935,0.849948073250085,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM1"
"Seq_208","Seq_208",0.106113320246486,0.83198155757314,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_111","Seq_111",0.242643565709316,-0.826830527035396,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Seq_888","Seq_888",0.0171850936656854,0.825844297607535,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_31","Seq_31",0.730187992843637,-0.824161722290241,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_367","Seq_367",0.0455872179398041,0.81783684596813,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Methylibium"
"Seq_439","Seq_439",0.0437371086213884,-0.810174697573242,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"Seq_399","Seq_399",0.0494312664899641,0.802974571836789,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_1351","Seq_1351",0.0135832372828001,0.798644618679017,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Martelella"
"Seq_313","Seq_313",0.0635552153781966,0.789832860808873,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_578","Seq_578",0.0299041898276127,0.787791955690277,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_984","Seq_984",0.0191021620816476,0.780487789499585,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Unclassified"
"Seq_169","Seq_169",0.155242420142134,-0.766227669076425,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_458","Seq_458",0.0454847013712573,-0.762854380896669,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella"
"Seq_13","Seq_13",1.11250091497252,0.754029149675312,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"Seq_1183","Seq_1183",0.00821100275011093,0.747151303226572,"Rare","Bacilli","Bacillales","Bacillaceae","Unclassified"
"Seq_130","Seq_130",0.193561488395368,0.746290219838696,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_264","Seq_264",0.082789154316586,-0.745678521539287,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_287","Seq_287",0.0813964721045554,-0.73511300842509,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_1032","Seq_1032",0.0157391035129898,0.728140890300862,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unclassified"
"Seq_659","Seq_659",0.00700450619007601,0.722177248345419,"Rare","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"Seq_100","Seq_100",0.264352556757031,0.714171291573388,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_192","Seq_192",0.10900403769638,0.708338182057459,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Seq_23","Seq_23",0.954287888823009,-0.70278856292486,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium"
"Seq_106","Seq_106",0.230329029278534,0.698792498103778,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Roseateles"
"Seq_1155","Seq_1155",0.0133827226637749,0.689442019303524,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_543","Seq_543",0.0336391497160746,0.686295747710105,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_120","Seq_120",0.233165160938261,-0.683463862001953,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_431","Seq_431",0.0526197011639167,0.682292657828337,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_65","Seq_65",0.344685275632906,-0.680037742211278,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_483","Seq_483",0.0462411301586769,-0.679570563759231,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Unclassified"
"Seq_2306","Seq_2306",0.00585458253190587,0.671978494576905,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Seq_56","Seq_56",0.375940791335176,-0.668024108319331,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_419","Seq_419",0.0427281409875455,0.664861658566611,"Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Panacagrimonas"
"Seq_1470","Seq_1470",0.0100521351016188,0.659216196927752,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Seq_847","Seq_847",0.0196902267382443,0.651186901188834,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_281","Seq_281",0.084456380016841,0.643620475552568,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_270","Seq_270",0.0760305198554756,0.643426194710321,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas"
"Seq_420","Seq_420",0.047486429962476,0.641315507431001,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pigmentiphaga"
