"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_112","Seq_112",0.226779484612393,-2.10722850141339,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_311","Seq_311",0.117471760375183,2.08780501487009,"Rare","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"Seq_207","Seq_207",0.210548126582472,2.06140384734014,"Actinobacteria","MB-A2-108","Unclassified","Unclassified","Unclassified"
"Seq_32","Seq_32",1.24028601597417,2.05113661232221,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_96","Seq_96",0.454967857023105,2.01976498405807,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_470","Seq_470",0.0747681289056303,2.01005197009407,"Proteobacteria","Deltaproteobacteria","RCP2-54","Unclassified","Unclassified"
"Seq_11","Seq_11",0.351344220965197,-1.97576501817778,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_58","Seq_58",0.388762597981864,-1.97417291162156,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Seq_280","Seq_280",0.140063919964036,1.9725466809707,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Unclassified"
"Seq_515","Seq_515",0.0655889931263842,1.96478453614969,"Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"Seq_247","Seq_247",0.140498254567366,1.96080923361329,"Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"Seq_75","Seq_75",0.29593556487569,-1.94692436236951,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_300","Seq_300",0.122480751485335,1.93758150301855,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_221","Seq_221",0.159949608771636,1.93084223438571,"Proteobacteria","Gammaproteobacteria","CCD24","Unclassified","Unclassified"
"Seq_45","Seq_45",0.28231372330298,-1.92594497982443,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_25","Seq_25",0.632108768366736,-1.91485892493025,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_114","Seq_114",0.145605891961553,-1.91442665969336,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_35","Seq_35",0.517369561261557,-1.9065200492645,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_172","Seq_172",0.238481908662615,1.90400297652965,"Rare","KD4-96","Unclassified","Unclassified","Unclassified"
"Seq_102","Seq_102",0.141373345524557,-1.90333931699854,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_176","Seq_176",0.216626217766546,1.90292944099252,"Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus"
"Seq_161","Seq_161",0.250938043179093,1.89490569134411,"Rare","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Seq_168","Seq_168",0.227462984795601,1.89191038514394,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1"
"Seq_429","Seq_429",0.0811955439055749,1.87569137980263,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"Seq_375","Seq_375",0.0935876733091139,1.87107789331779,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"Seq_339","Seq_339",0.103853061544982,1.86329529088511,"Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella"
"Seq_111","Seq_111",0.274867115798332,-1.86017877527306,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"Seq_4","Seq_4",1.22256890175239,-1.84888553062041,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_215","Seq_215",0.154324662945219,1.845242890772,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_256","Seq_256",0.15469289208484,1.84471537574804,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_95","Seq_95",0.283922182867081,-1.84172336376908,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Seq_115","Seq_115",0.179985288849431,-1.83969347913233,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalicibacterium"
"Seq_462","Seq_462",0.0721853551503339,1.83952587194693,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Unclassified"
"Seq_326","Seq_326",0.117230251407982,1.82906221211402,"Actinobacteria","Acidimicrobiia","Actinomarinales","Unclassified","Unclassified"
"Seq_226","Seq_226",0.166654748026033,1.82511664880915,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_37","Seq_37",0.199351657838399,-1.81622044718217,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Seq_178","Seq_178",0.0539766209467431,-1.81030585450719,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_388","Seq_388",0.0993342663962798,1.80502988552992,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_338","Seq_338",0.111067906456218,1.79902015095217,"Rare","Dehalococcoidia","S085","Unclassified","Unclassified"
"Seq_362","Seq_362",0.0974384133554704,1.79113809915052,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_347","Seq_347",0.103971296510636,1.78619775987101,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_576","Seq_576",0.0612950472399564,1.78557361188826,"Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter"
"Seq_359","Seq_359",0.101229400539166,1.78556329529947,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_498","Seq_498",0.0732089086870906,1.78160270455774,"Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","Unclassified"
"Seq_378","Seq_378",0.101085015247544,1.76770371506989,"Rare","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified"
"Seq_198","Seq_198",0.176457371765688,1.76714484968198,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_401","Seq_401",0.0984358287089956,1.76473494263732,"Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","Unclassified"
"Seq_254","Seq_254",0.157236428867594,1.76418679107747,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_415","Seq_415",0.0904184994684587,1.76406189318438,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_450","Seq_450",0.0748486522706372,1.76144615275192,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_591","Seq_591",0.0548198407238836,1.76009317461403,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_345","Seq_345",0.105978407862192,1.75888703084396,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrososphaera"
"Seq_500","Seq_500",0.0679272348598736,1.75797004691141,"Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"Seq_220","Seq_220",0.169376181453692,1.75535565208135,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified"
"Seq_570","Seq_570",0.0661007288931394,1.74895875167608,"Actinobacteria","Thermoleophilia","Unclassified","Unclassified","Unclassified"
"Seq_162","Seq_162",0.228047777225837,1.74403331388896,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_676","Seq_676",0.0508948042462503,1.74128688166961,"Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter"
"Seq_292","Seq_292",0.125908462930936,1.73554638924436,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Unclassified","Unclassified"
"Seq_374","Seq_374",0.111297692954251,1.73198746560052,"Rare","Blastocatellia_(Subgroup_4)","Pyrinomonadales","Pyrinomonadaceae","RB41"
"Seq_122","Seq_122",0.331878437798687,1.72755194729185,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"Seq_40","Seq_40",0.364903844929674,-1.72531894855812,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_630","Seq_630",0.0570173500655402,1.72323645650545,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_428","Seq_428",0.0857162627170638,1.72283387603749,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_437","Seq_437",0.0858658066538285,1.72211232665123,"Actinobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"Seq_673","Seq_673",0.0529036142314843,1.71996555597806,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"Seq_549","Seq_549",0.0604053928535816,1.71958203369487,"Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified"
"Seq_472","Seq_472",0.075093583163555,1.71751727407962,"Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Seq_368","Seq_368",0.0921218107387066,1.71638633618607,"Proteobacteria","Gammaproteobacteria","PLTA13","Unclassified","Unclassified"
"Seq_327","Seq_327",0.111258795790756,1.714151627761,"Rare","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unclassified"
"Seq_301","Seq_301",0.132193634175932,1.71414335700858,"Actinobacteria","MB-A2-108","Unclassified","Unclassified","Unclassified"
"Seq_343","Seq_343",0.102524887170639,1.7130205103971,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Ellin6067"
"Seq_205","Seq_205",0.179121780934147,1.70002251682409,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Unclassified"
"Seq_609","Seq_609",0.0567076954081386,1.69580547398328,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"Seq_315","Seq_315",0.110007882639299,1.69521388813915,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_171","Seq_171",0.0688279624159658,-1.69360177771402,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudorhodoferax"
