"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_4","Seq_4",1.6514630408485,-2.84534683272532,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_40","Seq_40",0.362721970708052,-2.74346530064816,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_2","Seq_2",2.33413804973254,-2.72406408091544,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_33","Seq_33",0.528365043727869,-2.70634153893849,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
"Seq_37","Seq_37",0.430916036030283,-2.59450863243302,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"Seq_45","Seq_45",0.386500280630513,-2.56956850407884,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_158","Seq_158",0.106848792137619,-2.39015433423888,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"Seq_61","Seq_61",0.335228561421903,-2.30233679296036,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_578","Seq_578",0.029089579466385,-2.27542823650527,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_83","Seq_83",0.35979540675043,-2.26059112709768,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_420","Seq_420",0.0488795453611154,-2.25978386991447,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pigmentiphaga"
"Seq_11","Seq_11",1.48635352575343,-2.2375786253987,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_102","Seq_102",0.171967872427021,-2.2300974025295,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_52","Seq_52",0.390237319799439,-2.20125114093311,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM1"
"Seq_82","Seq_82",0.172002237851565,-2.15677327675311,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_109","Seq_109",0.306573692937862,-2.13551814459851,"Proteobacteria","Gammaproteobacteria","R7C24","Unclassified","Unclassified"
"Seq_64","Seq_64",0.390291686539414,-2.12001108868189,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_168","Seq_168",0.221197781948772,2.0725270848681,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1"
"Seq_10","Seq_10",1.04225655510983,-2.07060319605792,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_98","Seq_98",0.171662424647603,-2.04777232686222,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_131","Seq_131",0.229416654081992,-2.03920429463995,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_6","Seq_6",2.13622115854192,-2.03146028004341,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
