"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_3","Seq_3",0.771331214732144,2.45778850450958,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_136","Seq_136",0.209889101093391,1.81856381973051,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_34","Seq_34",0.311933265506893,1.81045988043705,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_7","Seq_7",1.76711727394288,1.76481227949003,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_30","Seq_30",0.102988878841126,1.75782407535573,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"Seq_19","Seq_19",0.305587004491322,1.75721900305307,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_74","Seq_74",0.291519547925579,1.73489029999521,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_155","Seq_155",0.251186271578393,-1.65415927472543,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_135","Seq_135",0.235482731294518,1.60520015211058,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_242","Seq_242",0.0983949679965519,1.56236411126456,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum"
"Seq_79","Seq_79",0.222188085413851,1.56124860221335,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Parafrigoribacterium"
"Seq_267","Seq_267",0.0923117904232167,1.51779144572934,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_121","Seq_121",0.0860389201436932,1.41987962852257,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_186","Seq_186",0.0884329331065631,1.41615513959273,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_177","Seq_177",0.0364716329622164,1.37890231531826,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_303","Seq_303",0.0245773166833465,1.35842785984896,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Seq_90","Seq_90",0.0422315544355134,1.34755382858006,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_285","Seq_285",0.0962995329542641,1.32874723810441,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_213","Seq_213",0.079997145194779,1.32246485389693,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_333","Seq_333",0.108507600899036,-1.29708065270608,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_427","Seq_427",0.0739943947138672,1.28924262034815,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"Seq_396","Seq_396",0.0678114290140656,-1.28782427540097,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum"
"Seq_599","Seq_599",0.0137897578709073,-1.27669024752355,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"Seq_1623","Seq_1623",0.0202260277648447,1.2740900314407,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_9","Seq_9",1.5581497519518,1.25898900301602,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_16","Seq_16",0.0685195425625364,1.25677635609207,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_146","Seq_146",0.252555818564358,1.25496668565123,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_24","Seq_24",0.604653063181427,1.22126379476983,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_22","Seq_22",0.27747278397721,1.21341881125823,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_114","Seq_114",0.184520841466089,1.20411874191347,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_21","Seq_21",1.53068517339427,-1.19964756964617,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"Seq_421","Seq_421",0.0484202345179615,1.19645884425601,"Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Unclassified"
"Seq_105","Seq_105",0.468221204019849,-1.1958150431272,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_180","Seq_180",0.165662489274724,1.18946778770133,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"Seq_143","Seq_143",0.0977150616663233,1.18262897811083,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_1246","Seq_1246",0.014294917068398,-1.17982441965646,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter"
"Seq_320","Seq_320",0.0406102147738455,1.17875580653451,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_805","Seq_805",0.0364067347585473,-1.15224744276861,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_163","Seq_163",0.136524638980901,1.14220810939082,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_129","Seq_129",0.309846309629438,-1.12822507131306,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unclassified"
"Seq_127","Seq_127",0.270886516677821,1.10753204757004,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_395","Seq_395",0.0257484116366555,1.10444599638749,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_70","Seq_70",0.492074000375217,1.10388329600429,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_12","Seq_12",0.874649104447728,1.10168251723027,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_93","Seq_93",0.305336802416259,1.1007987673456,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_1387","Seq_1387",0.0152787534520026,1.07416457347159,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
