"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_1","Seq_1",1.97632655325129,-1.77488442449695,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_73","Seq_73",0.300763267316041,1.65474250471695,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_103","Seq_103",0.524893747773691,1.63843597947825,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_66","Seq_66",0.31832185209701,-1.5894058141574,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_295","Seq_295",0.160005102060792,1.56211804515487,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_117","Seq_117",0.359823849284,1.49234159114538,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_63","Seq_63",0.19015521253424,-1.47297652034996,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_626","Seq_626",0.0666972214154591,1.46399354092093,"Proteobacteria","Gammaproteobacteria","CCD24","Unclassified","Unclassified"
"Seq_38","Seq_38",0.590503693551864,-1.46162468713485,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_563","Seq_563",0.0767923122528339,1.40340871416511,"Rare","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"Seq_904","Seq_904",0.0367349093211538,1.39440213351948,"Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"Seq_171","Seq_171",0.143657107232473,-1.38070581158923,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudorhodoferax"
"Seq_836","Seq_836",0.0490695022603381,1.37888852502561,"Rare","Anaerolineae","SBR1031","A4b","Unclassified"
"Seq_26","Seq_26",0.11594759299917,-1.34496877215355,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_409","Seq_409",0.0885269830804835,1.34474126862204,"Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia"
"Seq_333","Seq_333",0.11395512745477,-1.34173639961888,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_262","Seq_262",0.10020249343587,1.31482274152627,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_9","Seq_9",0.0776803484672664,-1.29868125771732,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1206","Seq_1206",0.0335790684186429,1.28120115844653,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_480","Seq_480",0.0896938983709108,1.27285501457252,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_67","Seq_67",0.554459055080376,-1.26860665688876,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
