"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_16","Seq_16",1.30907904929289,3.51816688837911,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_90","Seq_90",0.33200954923753,3.25863869129544,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_3","Seq_3",3.05767993505128,3.22730668827019,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_18","Seq_18",1.16853294721263,2.99422691112279,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_30","Seq_30",0.83383164323682,2.99212486583214,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"Seq_29","Seq_29",0.775903039335283,2.84255739602131,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_19","Seq_19",0.947932383072999,2.81856764140016,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_91","Seq_91",0.33725771047394,2.78135548174843,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"Seq_22","Seq_22",0.940171406084719,2.69775827858723,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_143","Seq_143",0.162346120350223,2.67770401150523,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_187","Seq_187",0.133706516720077,-2.59697426295974,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_213","Seq_213",0.0847891642562839,2.52177150023209,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_139","Seq_139",0.189344409834076,-2.43479269479239,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Seq_303","Seq_303",0.0758365364576442,2.3743504031876,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Seq_177","Seq_177",0.134337026434266,2.34231066620174,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_216","Seq_216",0.112665529928065,2.34140556090225,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_164","Seq_164",0.176074889851435,2.24097399332528,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_156","Seq_156",0.179866681682878,2.23603567815573,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_184","Seq_184",0.153467727963332,2.22348035973696,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_148","Seq_148",0.150111861060201,2.22091991859666,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_49","Seq_49",0.710441330108196,-2.19737311724545,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"Seq_271","Seq_271",0.101875862672866,2.19423014822629,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_35","Seq_35",0.517917639695239,-2.18588148170856,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_121","Seq_121",0.219582297439292,2.16659886403965,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_34","Seq_34",0.592795803894536,2.15605515329819,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_4","Seq_4",2.38435789641737,-2.14945456031505,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_125","Seq_125",0.18329003785576,2.14469292330994,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_48","Seq_48",0.747037895284891,-2.11282055630646,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_11","Seq_11",1.08512076792384,-2.09577813863003,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_42","Seq_42",0.573697205339411,-2.08740089584182,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Seq_186","Seq_186",0.108029007917132,2.04033972366242,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_265","Seq_265",0.10235543582344,2.01323776297664,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_381","Seq_381",0.0630811804761628,2.01298185002265,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_336","Seq_336",0.0624873524683402,-1.99856903029045,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_94","Seq_94",0.281998166514529,1.9630052188157,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_340","Seq_340",0.0789545845284119,1.94937110623532,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_290","Seq_290",0.0834833069318245,1.94765944134898,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_229","Seq_229",0.117939015722717,1.94501326446066,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"Seq_206","Seq_206",0.094673078645753,1.94477734328981,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_793","Seq_793",0.0286646460467048,1.93441693053104,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_411","Seq_411",0.0506872199594807,1.93053576122822,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_366","Seq_366",0.0521447549460931,1.92678632424538,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_113","Seq_113",0.267405462292174,1.92547500910091,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_135","Seq_135",0.112570312535739,1.92520261241215,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_155","Seq_155",0.245397270993102,-1.9207175677762,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_242","Seq_242",0.051393462650353,1.86758883373949,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum"
"Seq_360","Seq_360",0.0715337751567706,1.84969429844569,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"Seq_308","Seq_308",0.0743731702145455,1.84730066743495,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_97","Seq_97",0.270471206047937,1.84409631502197,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_151","Seq_151",0.19026751972203,1.83830962844303,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_59","Seq_59",0.288736748129505,1.81961196467804,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_267","Seq_267",0.0509107072047725,1.81128186347814,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_41","Seq_41",0.248230345268644,-1.80314376522658,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_212","Seq_212",0.0691807730365292,1.79846014938595,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_298","Seq_298",0.0539395682225357,1.7946315673253,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_79","Seq_79",0.284651710019318,1.78976430533721,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Parafrigoribacterium"
"Seq_481","Seq_481",0.0475678432562265,1.78861747556417,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_598","Seq_598",0.0213170169600313,-1.77559396533,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
