"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_15","Seq_15",0.966997743357934,-2.28263358868992,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Seq_151","Seq_151",0.193520179313925,2.21135588181183,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_164","Seq_164",0.180031443246825,2.18417954522216,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_11","Seq_11",0.722562757514636,-2.17238593059929,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_127","Seq_127",0.258476549120555,-2.14863831236332,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"Seq_60","Seq_60",0.623417073038377,-2.07611027040837,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_427","Seq_427",0.0709120227356958,-2.02233024778628,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"Seq_360","Seq_360",0.0729062601702366,1.89740590914673,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"Seq_340","Seq_340",0.0804926566885242,1.89028244163655,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_40","Seq_40",0.48951654126653,-1.85132390717421,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Seq_793","Seq_793",0.0293122584704669,1.84264100132945,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_91","Seq_91",0.351163269072857,1.82044828552976,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"Seq_146","Seq_146",0.290983748718393,-1.80340479702548,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_271","Seq_271",0.105113490039511,1.76766937891102,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_64","Seq_64",0.412475977322191,-1.73734093743249,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_113","Seq_113",0.274921544114884,1.6971844959904,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_441","Seq_441",0.0466885852803873,-1.69479329229026,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"Seq_180","Seq_180",0.142241324710635,-1.68909469463928,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"Seq_57","Seq_57",0.435603919720649,1.65709929231952,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
"Seq_537","Seq_537",0.0384845425468063,-1.59545323775899,"Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
