"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_18","Seq_18",1.24403730627871,4.47659743230683,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_91","Seq_91",0.359204021772828,4.08091506049178,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"Seq_19","Seq_19",1.00676577938775,3.99881289878821,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_16","Seq_16",1.39615480514975,3.85975336749058,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_55","Seq_55",0.459165346157982,3.79558202169834,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_29","Seq_29",0.825593915734283,3.79137261730484,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_22","Seq_22",1.00119854191266,3.72073972074319,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_3","Seq_3",3.25942088311854,3.71209521047128,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_103","Seq_103",0.473920484833614,-3.69952572962293,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_34","Seq_34",0.627336908298241,3.65043376553199,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_57","Seq_57",0.441704971344987,3.54504940998807,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
"Seq_9","Seq_9",1.15355612979862,3.48853424542168,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_134","Seq_134",0.209868379188216,3.44913555510656,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_113","Seq_113",0.281463505958731,3.41960939358839,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_30","Seq_30",0.889264138764557,3.39569315686358,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"Seq_97","Seq_97",0.284460649835766,3.30634615371888,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_143","Seq_143",0.173778477919267,3.11771859109778,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_121","Seq_121",0.232675417787722,3.05141354040424,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_135","Seq_135",0.118721033637542,3.0501432415459,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_90","Seq_90",0.354934899339221,3.04637048430699,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_177","Seq_177",0.142894641611051,3.01686541847583,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_26","Seq_26",0.676923302942173,2.99638388410247,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_186","Seq_186",0.114534121034069,2.93042386460192,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_394","Seq_394",0.0900192749737621,-2.93000105298707,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_136","Seq_136",0.126180580210552,2.86696180020974,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Seq_213","Seq_213",0.0907198752190405,2.84304585215746,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_15","Seq_15",0.950988979187959,-2.8182237372204,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Seq_371","Seq_371",0.0647004697243231,2.81249130924872,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_303","Seq_303",0.0808742201243836,2.80995917782517,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Seq_148","Seq_148",0.160077511589713,2.72536568805681,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1","Seq_1",3.03533022488634,2.70914006497444,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_184","Seq_184",0.163639529733056,2.7037730111388,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified"
"Seq_216","Seq_216",0.120149133427279,2.69891640561133,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_5","Seq_5",1.66691733124874,2.6978766200958,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_38","Seq_38",0.233672814602252,2.69641416721107,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella"
"Seq_271","Seq_271",0.108634074026353,2.68929109797213,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Seq_194","Seq_194",0.110502878317725,2.68558642219032,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_94","Seq_94",0.300018158584169,2.6764161718271,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_164","Seq_164",0.187770675324235,2.66094819584714,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_206","Seq_206",0.100352594271415,2.65770563891438,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Seq_17","Seq_17",1.03300919260309,-2.64966616636259,"Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Seq_151","Seq_151",0.201883890438328,2.64668679166923,"Rare","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Seq_110","Seq_110",0.268030851145391,2.64420137970124,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_72","Seq_72",0.224486256360145,2.64086690031254,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unclassified"
"Seq_229","Seq_229",0.125410226432799,2.61692431412314,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"Seq_117","Seq_117",0.318519358030819,-2.61433634591657,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_51","Seq_51",0.451556100524777,2.61429471643747,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_411","Seq_411",0.0535136492004456,2.59277847109118,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
