"","Shannon.Estimate","Shannon.SE","InvSimpson.Estimate","InvSimpson.SE","BP.Estimate","BP.SE"
"Green_tea_Kolluvisol_Winter_1",5.508108,0.174181668781947,75.318619,2.38178386258434,0.067803,0.00214411912192397
"Green_tea_Kolluvisol_Winter_2",5.530843,0.174900612607987,79.585782,2.51672340485631,0.0629,0.00198907264824591
"Green_tea_Kolluvisol_Winter_3",4.851949,0.153432099309763,29.289946,0.926229419033382,0.155171,0.00490693786805988
"Green_tea_Kolluvisol_Winter_4",5.028407,0.159012191223343,53.43008,1.68960748365009,0.070252,0.00222156330182149
"Rooibos_Kolluvisol_Winter_1",5.102014,0.161339848940663,69.051551,2.18360177127278,0.048587,0.00153645584674601
"Rooibos_Kolluvisol_Winter_2",5.404286,0.170898528869607,84.874309,2.68396131272928,0.046742,0.0014781118239159
"Rooibos_Kolluvisol_Winter_3",4.591906,0.145208817613931,40.750942,1.28865793517417,0.078856,0.00249364567170238
"Rooibos_Kolluvisol_Winter_4",4.629448,0.146395999893112,30.92066,0.97779712355662,0.128503,0.00406362166164617
"Green_tea_Braunerde_Winter_1",4.393077,0.138921292564995,27.173537,0.859302690028589,0.156538,0.00495016620367438
"Green_tea_Braunerde_Winter_2",4.727459,0.149495379850619,37.706222,1.19237543479949,0.125478,0.00396796276242608
"Green_tea_Braunerde_Winter_3",4.980289,0.157490566458823,58.845296,1.86085164946796,0.068635,0.00217042927205657
"Green_tea_Braunerde_Winter_4",4.818709,0.152380958215523,48.125209,1.52185273311634,0.078521,0.00248305204154081
"Rooibos_Braunerde_Winter_1",4.834084,0.152867158405774,39.270706,1.2418487628284,0.112005,0.00354190909327159
"Rooibos_Braunerde_Winter_2",5.206055,0.164629914241079,71.823456,2.27125710384887,0.050635,0.00160121929322626
"Rooibos_Braunerde_Winter_3",5.263646,0.166451101568346,70.236125,2.22106129024294,0.067991,0.00215006420392508
"Rooibos_Braunerde_Winter_4",5.326564,0.168440743426571,81.845021,2.58816681504312,0.053814,0.00170174810004301
"Green_tea_Auboden_Winter_1",4.199673,0.132805321079123,23.488296,0.742765137162223,0.132075,0.00417657821966739
"Green_tea_Auboden_Winter_2",4.030053,0.127441465711946,12.855268,0.406519268118774,0.24722,0.00781778283146827
"Green_tea_Auboden_Winter_3",4.206872,0.133032973447879,18.624647,0.58896305136622,0.17613,0.00556971964285457
"Green_tea_Auboden_Winter_4",3.816366,0.120684089448262,15.606542,0.493522191190795,0.168687,0.00533435131660823
"Rooibos_Auboden_Winter_1",5.07401,0.16045428470471,68.068509,2.1525152537167,0.056607,0.00179007051509151
"Rooibos_Auboden_Winter_2",5.245811,0.165887109347655,48.848273,1.54471802445706,0.105757,0.00334432998506427
"Rooibos_Auboden_Winter_3",4.858179,0.153629109207992,57.347407,1.81348424024684,0.059346,0.00187668530020353
"Rooibos_Auboden_Winter_4",5.105977,0.161465170004336,76.794929,2.42846888390917,0.047395,0.0014987614970368
"Soil_Kolluvisol_Winter_1",6.685862,0.211425520415687,244.952363,7.74607385320355,0.037446,0.00118414649262665
"Soil_Braunerde_Winter_1",6.93434,0.21928308470012,553.669754,17.5085749418512,0.012011,0.000379821169762824
"Soil_Auboden_Winter_1",6.884584,0.217709661827527,408.227692,12.909293106737,0.023561,0.000745064239512272
"Soil_Kolluvisol_Winter_2",6.694572,0.211700954799887,185.765792,5.87443014065086,0.061855,0.00195602684669715
"Soil_Braunerde_Winter_2",6.800676,0.215056257888433,489.811058,15.4891856641684,0.016166,0.00051121380654282
"Soil_Auboden_Winter_2",6.823913,0.215791076348326,372.144922,11.768255731857,0.028825,0.000911526535543535
"Green_tea_Kolluvisol_Spring_1",3.527557,0.111551146960706,19.470965,0.615725976414204,0.101969,0.0032245429072971
"Green_tea_Kolluvisol_Spring_3",3.670396,0.116068112747714,17.557162,0.555206211685572,0.172429,0.00545268374665174
"Green_tea_Kolluvisol_Spring_4",3.176613,0.100453323249005,12.702585,0.401691007718899,0.144208,0.00456025736817562
"Rooibos_Kolluvisol_Spring_1",4.523004,0.143029945060522,39.583292,1.25173360007522,0.081424,0.0025748529620155
"Rooibos_Kolluvisol_Spring_2",4.62301,0.14619241245735,42.91599,1.3571227644101,0.069035,0.00218307838269724
"Rooibos_Kolluvisol_Spring_3",3.99604,0.126365880211393,20.221281,0.639453051662873,0.154797,0.00489511094961085
"Rooibos_Kolluvisol_Spring_4",4.590666,0.145169605370945,50.874152,1.6087819434961,0.063491,0.00200776170921751
"Green_tea_Braunerde_Spring_1",4.89967,0.154941169831972,65.74,2.07888133379469,0.042165,0.00133337437541
"Green_tea_Braunerde_Spring_2",4.207773,0.133061465569597,28.800887,0.910764015531339,0.107557,0.0034012509829473
"Green_tea_Braunerde_Spring_3",4.910486,0.155283201783696,61.234101,1.93639229632794,0.057758,0.00182646833096005
"Green_tea_Braunerde_Spring_4",4.698031,0.148564784780785,30.259995,0.956905061853069,0.150251,0.00475135380717959
"Rooibos_Braunerde_Spring_1",4.209348,0.133111271442744,28.746332,0.909038834953834,0.12239,0.00387031162828008
"Rooibos_Braunerde_Spring_2",5.084144,0.160774749922791,77.985203,2.46610865270596,0.047205,0.00149275316948248
"Rooibos_Braunerde_Spring_3",4.481105,0.141704982343688,48.944769,1.54776949590802,0.05247,0.00165924708829035
"Rooibos_Braunerde_Spring_4",4.605527,0.145639551454023,47.230691,1.49356559023616,0.077137,0.00243928611872408
"Green_tea_Auboden_Spring_1",5.010935,0.158459678070558,77.694111,2.45690351541942,0.039478,0.00124840397468127
"Green_tea_Auboden_Spring_2",5.170288,0.163498862390367,86.836128,2.74599947669922,0.048897,0.00154625890749253
"Green_tea_Auboden_Spring_3",5.119029,0.161877910484541,93.049431,2.94248136942679,0.033331,0.00105401876691072
"Green_tea_Auboden_Spring_4",3.632885,0.114881910774608,17.064217,0.539617922073655,0.145703,0.00460753341919513
"Rooibos_Auboden_Spring_1",5.076133,0.160521419859435,75.73834,2.39505660600237,0.056098,0.00177397452180126
"Rooibos_Auboden_Spring_2",5.058872,0.159975579112513,60.861911,1.92462261510456,0.064596,0.00204270487736237
"Rooibos_Auboden_Spring_3",5.118864,0.161872692726402,81.972612,2.5922015967325,0.052985,0.00167553281824022
"Rooibos_Auboden_Spring_4",4.812112,0.152172342758282,55.911594,1.76807984650604,0.083104,0.00262797922670633
"Soil_Kolluvisol_Spring_1",6.846883,0.216517451526867,391.404587,12.3772998155753,0.031498,0.000996054217399836
"Soil_Braunerde_Spring_1",6.801696,0.215088513120566,482.282463,15.2511105863588,0.015415,0.000487465101314956
"Soil_Auboden_Spring_1",6.736533,0.213027878128871,292.838836,9.26037709112512,0.04092,0.0012940040185409
"Soil_Kolluvisol_Spring_2",6.798864,0.21499895741723,325.991427,10.3087540700851,0.030467,0.0009634511347235
"Soil_Braunerde_Spring_2",6.805389,0.215205296034556,490.274605,15.5038443073938,0.016544,0.000523167216098257
"Soil_Auboden_Spring_2",6.647477,0.210211680135831,174.004272,5.50249822119462,0.064024,0.0020246166491462
"Green_tea_Kolluvisol_Summer_2",5.232969,0.165481009650537,33.059215,1.04542417057203,0.150857,0.00477051720980021
"Green_tea_Kolluvisol_Summer_3",5.620067,0.177722123227495,97.038356,3.06862225358266,0.054714,0.00173020859898453
"Rooibos_Kolluvisol_Summer_1",4.917285,0.155498205041811,41.788201,1.32145894480926,0.079296,0.00250755969340712
"Rooibos_Kolluvisol_Summer_2",4.869734,0.153994510391624,19.354265,0.612035598384788,0.212015,0.00670450298120599
"Rooibos_Kolluvisol_Summer_4",4.346377,0.137444508897697,12.335734,0.390090160499795,0.270407,0.00855102015253151
"Green_tea_Braunerde_Summer_1",5.200668,0.164459562343526,62.477063,1.97569820597832,0.06073,0.00192045122302026
"Green_tea_Braunerde_Summer_2",4.927214,0.155812187590689,46.749905,1.47836180196494,0.068592,0.00216906949266269
"Green_tea_Braunerde_Summer_3",4.944493,0.156358597547589,31.545204,0.997546938946542,0.142478,0.0045055499646547
"Green_tea_Braunerde_Summer_4",4.776908,0.151059094530796,31.663202,1.00127836333999,0.124273,0.00392985731662105
"Rooibos_Braunerde_Summer_1",5.393347,0.170552607316361,66.159038,2.09213247885631,0.060036,0.00189850501605869
"Rooibos_Braunerde_Summer_2",5.683558,0.179729884936713,93.26381,2.94926062865188,0.051528,0.00162945843273156
"Rooibos_Braunerde_Summer_3",5.736416,0.181401401662325,121.521419,3.84284468535661,0.03434,0.00108592614850182
"Rooibos_Braunerde_Summer_4",5.174,0.163616246137112,62.735,1.98385489010663,0.073,0.00230846269192292
"Green_tea_Auboden_Summer_1",5.468558,0.172930987967351,78.009389,2.46687348118085,0.054099,0.00171076059137449
"Green_tea_Auboden_Summer_2",5.48582,0.173476860337049,69.29961,2.19144608561381,0.0729,0.00230530041426275
"Green_tea_Auboden_Summer_3",5.697381,0.180167006577678,99.129394,3.13474668112229,0.061591,0.00194767843367431
"Green_tea_Auboden_Summer_4",5.22199,0.165133823186227,54.767892,1.73191281366115,0.079523,0.0025147380636957
"Rooibos_Auboden_Summer_1",5.696479,0.180138482833183,106.810529,3.37764549727467,0.0445,0.00140721355877493
"Rooibos_Auboden_Summer_2",5.643827,0.178473480399551,87.163593,2.75635482923909,0.05074,0.00160453968476944
"Rooibos_Auboden_Summer_3",5.828567,0.184315472148946,107.795489,3.40879266731626,0.056957,0.0018011384869021
"Rooibos_Auboden_Summer_4",5.763176,0.182247627164186,107.764803,3.40782229079346,0.048806,0.00154338123482178
"Soil_Kolluvisol_Summer_1",7.109722,0.224829150506076,568.180211,17.9674358819506,0.018379,0.000581195011162346
"Soil_Kolluvisol_Summer_2",7.193311,0.227472466779435,698.071714,22.0749658637765,0.013403,0.000423840074792368
"Soil_Kolluvisol_Summer_3",7.21397,0.228125761721249,683.148307,21.6030462980795,0.015364,0.00048585233970827
"Soil_Braunerde_Summer_1",6.992483,0.221121727800072,581.320672,18.3829737445967,0.010417,0.00032941446385974
"Soil_Braunerde_Summer_2",6.987651,0.220968926543532,575.83284,18.2094332592331,0.011947,0.000377797312060316
"Soil_Braunerde_Summer_3",7.041693,0.222677884636641,649.460369,20.5377401605341,0.010144,0.00032078144584748
"Soil_Auboden_Summer_1",6.95327,0.21988170386119,454.010737,14.3570801109168,0.022319,0.000705788750972981
"Soil_Auboden_Summer_2",7.020225,0.221999006868556,496.721761,15.707721281298,0.021802,0.00068943977546991
"Soil_Auboden_Summer_3",6.957737,0.22002296280427,489.464836,15.4782371632078,0.020833,0.000658797304942878
"Rooibos_Kolluvisol_Autumn_1",3.924149,0.124092487178721,19.313432,0.610744345547811,0.147449,0.00466274678714167
"Rooibos_Kolluvisol_Autumn_2",5.478923,0.173258758046827,58.632561,1.8541243780876,0.071756,0.00226912395783042
"Rooibos_Kolluvisol_Autumn_3",5.189004,0.164090714277244,48.599674,1.53685663381666,0.096541,0.00305289447590316
"Rooibos_Kolluvisol_Autumn_4",4.106848,0.129869936841072,22.478727,0.710839762211238,0.161479,0.0051064143428633
"Green_tea_Kolluvisol_Autumn_1",3.806137,0.120360620066403,18.498569,0.584976114937833,0.134019,0.00423805289738106
"Green_tea_Kolluvisol_Autumn_2",3.819804,0.120792808554218,20.992706,0.663847652102827,0.122365,0.00386952105886504
"Green_tea_Kolluvisol_Autumn_3",3.816047,0.120674001782526,20.730313,0.655550056881981,0.123448,0.00390376852592466
"Green_tea_Kolluvisol_Autumn_4",5.566832,0.176038684715105,53.002593,1.67608915774897,0.104445,0.00330284090216286
"Rooibos_Braunerde_Autumn_1",4.197106,0.132724145411587,18.071752,0.571478976297032,0.197154,0.00623455689812837
"Rooibos_Braunerde_Autumn_2",4.4892,0.141960968720279,33.84516,1.07027793372824,0.118232,0.00373882412317028
"Rooibos_Braunerde_Autumn_3",3.816331,0.120682982651081,13.780147,0.435766510119363,0.20926,0.00661738223166835
"Rooibos_Braunerde_Autumn_4",3.955948,0.125098059851878,15.974828,0.505168417094323,0.198868,0.00628875833722365
"Green_tea_Braunerde_Autumn_1",4.102252,0.129724598559811,27.085707,0.856525261559663,0.125969,0.00398348954573751
"Green_tea_Braunerde_Autumn_2",3.985645,0.126037161448618,25.158515,0.795582099475111,0.106653,0.00337266399289938
"Green_tea_Braunerde_Autumn_3",4.249187,0.134371091239779,32.560375,1.02964946469205,0.086984,0.00275067559992086
"Green_tea_Braunerde_Autumn_4",4.224145,0.13357919366812,27.479481,0.868977488793214,0.119868,0.00379055898569063
"Rooibos_Auboden_Autumn_1",4.73209,0.149641824929062,43.33885,1.37049477172388,0.076251,0.00241126833865499
"Rooibos_Auboden_Autumn_2",4.575405,0.144687010177227,37.269768,1.17857354746058,0.096753,0.00305959850454271
