"","Order","Sample.type - P","Sample.type - EtaSq","Green tea vs Rooibos","Green tea vs Soil","Rooibos vs Soil"
"1","Opitutales",0.0152408021269917,0.397753856209787,0.351237021677086,0.00401382999896054,0.07169272551923
"2","Verrucomicrobiales",1.70048068113058e-06,0.397753856209787,0.0783677642505171,3.13007792695663e-06,9.43215927669622e-05
"3","Sphingobacteriales",1.59596121018193e-12,0.503039519894293,0.707722152528168,7.69535610267749e-11,6.84175617096863e-11
"4","Flavobacteriales",1.39120649156909e-08,0.451726910507861,0.143013458240976,2.43811762854414e-08,1.75232668814532e-06
"5","Chitinophagales",0.0160880295144475,0.397753856209787,0.026943301437337,0.425313629630079,0.0398480694494724
"6","Cytophagales",3.99743781245183e-07,0.402326771255138,1.0975723289376e-06,0.0863751781195753,0.000595226676570387
"7","Micrococcales",1.09297003558349e-12,0.503039519894293,0.000454752559632039,9.62793083125286e-12,4.56094975584696e-07
"8","Micromonosporales",0.00323365836339235,0.397753856209787,0.12288205591964,0.000715736977843971,0.0974373235786744
"9","Propionibacteriales",6.80450471737703e-06,0.397753856209787,0.42849997352804,0.180940998595266,1.14423159760346e-10
"10","Myxococcales",5.00479925813187e-05,0.397753856209787,0.0783677642505171,0.000525442858506042,9.43215927669622e-05
"11","Xanthomonadales",0.00703954047157065,0.397753856209787,0.0289022405722279,0.12018551472367,0.0147370896819612
"12","Betaproteobacteriales",3.76378875397619e-06,0.397753856209787,0.24645476355989,0.000296085986345952,1.28801454986496e-06
"13","Enterobacteriales",0.000803497779048192,0.397753856209787,0.0228529962326784,0.0017802441313127,0.0394266056373258
"14","Pseudomonadales",1.09297003558349e-12,0.503039519894293,0.164496330079337,1.49178667171055e-10,4.92978346377824e-11
"15","Sphingomonadales",1.76469378352216e-12,0.503039519894293,5.20107103565658e-08,0.0863751781195753,1.06954445125567e-10
"16","Caulobacterales",1.66287013947556e-11,0.503039519894293,0.0833541559139628,4.87675357663024e-08,6.84175617096863e-11
"17","Rhizobiales",5.29322072565034e-05,0.397753856209787,0.000210917395803591,0.211426003134925,0.00182507222148213
