Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
GK1,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,101,10120,39686.2,1.87,2,173,25.4.2018; 26.4.2018; 27.4.2018,16S,Eva1-GK1_S183_L001_R1_001.fastq.gz
GK1,1,Winter,2,Teabag,Green tea,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,101,10120,39686.2,1.87,2,173,25.4.2018; 26.4.2018; 27.4.2018,16S,Re-Eva1-GK1_S1_L001_R1_001.fastq.gz
GK2,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.26,18.4.2018,100,1,110,11035.2,42772,1.87,1.78,177,27.4.2018; 2.5.2018; 3.5.2018,16S,Eva9-GK2_S191_L001_R1_001.fastq.gz
GK2,1,Winter,2,Teabag,Green tea,Kolluvisol,Luvisol,2,FALSE,0.26,18.4.2018,100,1,110,11035.2,42772,1.87,1.78,177,27.4.2018; 2.5.2018; 3.5.2018,16S,Re-Eva9-GK2_S9_L001_R1_001.fastq.gz
GK3,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.24,18.4.2018,100,1,97,9652.4,39559.2,1.83,1.64,149,26.4.2018; 27.4.2018; 3.5.2018,16S,Eva17-GK3_S199_L001_R1_001.fastq.gz
GK3,1,Winter,2,Teabag,Green tea,Kolluvisol,Luvisol,3,FALSE,0.24,18.4.2018,100,1,97,9652.4,39559.2,1.83,1.64,149,26.4.2018; 27.4.2018; 3.5.2018,16S,Re-Eva17-GK3_S17_L001_R1_001.fastq.gz
GK4,1,Winter,1,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.25,18.4.2018,100,1,102,10159.8,40639.1,1.86,1.84,172,27.4.2018; 2.5.2018; 3.5.2018,16S,Eva25-GK4_S207_L001_R1_001.fastq.gz
GK4,1,Winter,2,Teabag,Green tea,Kolluvisol,Luvisol,4,FALSE,0.25,18.4.2018,100,1,102,10159.8,40639.1,1.86,1.84,172,27.4.2018; 2.5.2018; 3.5.2018,16S,Re-Eva25-GK4_S25_L001_R1_001.fastq.gz
RK1,1,Winter,1,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,24,2416.4,9476,1.69,0.91,56,2.5.2018; 3.5.2018,16S,Eva2-RK1_S184_L001_R1_001.fastq.gz
RK1,1,Winter,2,Teabag,Rooibos,Kolluvisol,Luvisol,1,FALSE,0.26,18.4.2018,100,1,24,2416.4,9476,1.69,0.91,56,2.5.2018; 3.5.2018,16S,Re-Eva2-RK1_S2_L001_R1_001.fastq.gz
