Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13	V14
Seq_1	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria	s__ramulariae	100	100	99	98	94	91	91
Seq_2	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Mycoarthris	s__corallina	100	100	99	99	69	63	63
Seq_3	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum	100	100	100	100	97	97	75
Seq_4	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	NA	NA	NA	100	100	100	100	68	68	68
Seq_5	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	s__rosea	100	100	100	100	98	98	97
Seq_6	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	NA	NA	100	100	99	98	98	35	29
Seq_7	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	NA	100	100	100	100	100	100	100
Seq_8	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__solani	100	100	100	100	99	99	59
Seq_9	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	NA	100	100	100	99	99	71	40
Seq_10	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum	100	100	99	99	95	95	57
Seq_11	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	NA	100	100	100	100	100	100	40
Seq_12	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__niger	100	100	100	100	100	100	58
Seq_13	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA	100	100	100	100	100	100	100
Seq_14	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	75	30	16	12	12	12
Seq_15	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	NA	100	100	100	100	100	100	48
Seq_16	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__longicauda	100	100	100	100	100	100	99
Seq_17	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum	100	100	100	100	100	100	96
Seq_18	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Xylaria	NA	100	100	97	96	96	94	93
Seq_19	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA	100	100	100	100	96	96	50
Seq_20	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Peziza	s__buxea	100	100	100	100	100	100	100
Seq_21	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusicolla	NA	100	100	100	100	85	59	46
Seq_22	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	NA	NA	NA	100	100	99	99	55	55	55
Seq_23	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	100	100	46	46	46	39
Seq_24	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__pullulans	100	100	100	100	100	100	100
Seq_25	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__longicauda	100	100	100	100	100	100	100
Seq_26	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	NA	100	100	100	100	100	100	17
Seq_27	k__Fungi	p__Ascomycota	c__Laboulbeniomycetes	o__Pyxidiophorales	NA	NA	NA	100	100	98	98	98	98	98
Seq_28	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__Lophiostoma	NA	100	100	100	100	100	100	99
Seq_29	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__pullulans	100	100	100	100	100	100	100
Seq_30	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae	100	100	100	100	100	100	97
Seq_31	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__baccata	100	100	100	100	100	83	79
Seq_32	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	NA	NA	NA	100	100	100	97	60	60	60
Seq_33	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	s__marchalianum	100	100	100	100	94	94	58
Seq_34	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Monodictys	s__castaneae	100	100	100	100	69	69	69
Seq_35	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Mycoarthris	s__corallina	100	100	99	99	72	69	69
Seq_36	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Mycosphaerella	s__tassiana	100	100	100	100	100	100	100
Seq_37	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Microbotryomycetes_fam_Incertae_sedis	g__Curvibasidium	s__cygneicollum	100	99	99	98	98	98	98
Seq_38	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Nectria	s__ramulariae	100	100	97	97	95	87	87
Seq_39	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae	100	100	100	100	100	100	99
Seq_40	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Peziza	NA	100	100	100	100	100	100	42
Seq_41	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__elongata	100	100	100	100	100	100	99
Seq_42	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA	100	100	100	100	100	100	40
Seq_43	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Paulisebacina	s__allantoidea	100	100	100	100	100	97	97
Seq_44	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Mrakia	s__frigida	100	100	100	100	93	93	93
Seq_45	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiotremataceae	g__Lophiotrema	s__rubi	100	100	100	100	100	100	100
Seq_46	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__panaeoloides	100	100	100	100	100	100	100
Seq_47	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	86	66	32	29	21	10
Seq_48	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Helicodendron	s__luteoalbum	100	99	98	98	78	71	71
Seq_49	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Minimedusa	s__polyspora	100	100	100	100	100	100	100
Seq_50	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__macrodidyma	100	100	100	100	99	97	97
Seq_51	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__capitatum	100	100	100	100	100	100	100
Seq_52	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Saccharomyces	s__cerevisiae	100	100	100	100	100	100	100
Seq_53	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__elongata	100	100	100	100	100	100	64
Seq_54	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	59	25	11	8	8	8
Seq_55	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__pullulans	100	99	99	99	99	99	99
Seq_56	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__panaeoloides	100	100	100	100	100	100	92
Seq_57	k__Fungi	p__Ascomycota	c__Laboulbeniomycetes	o__Pyxidiophorales	NA	NA	NA	100	99	98	98	98	98	98
Seq_58	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__miniglutinans	100	100	100	99	99	86	62
Seq_59	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__minutissima	100	100	100	100	100	100	100
Seq_60	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metarhizium	s__marquandii	100	100	100	100	100	100	100
Seq_61	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	NA	NA	100	100	92	82	77	33	29
Seq_62	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__infirmominiatum	100	100	100	100	100	100	100
Seq_63	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__elongata	100	100	100	100	100	100	87
Seq_64	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	NA	NA	100	100	94	94	94	49	49
Seq_65	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cercophora	NA	100	100	99	94	94	62	62
Seq_66	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__delicatulum	100	100	100	100	98	98	94
Seq_67	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Pezizella	NA	100	100	100	100	79	79	79
Seq_68	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Niessliaceae	g__Eucasphaeria	NA	100	100	100	99	76	75	75
Seq_69	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__equina	100	100	100	100	100	100	100
Seq_70	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA	100	100	96	96	43	43	43
Seq_71	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	NA	100	100	100	100	100	95	20
Seq_72	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	72	25	6	5	5	5
Seq_73	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Mrakia	s__frigida	100	100	100	100	88	88	88
Seq_74	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	66	27	13	13	12	12
Seq_75	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Cylindrocarpon	NA	100	100	100	100	100	95	95
Seq_76	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__armoraciae	100	100	100	100	96	96	59
Seq_77	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	NA	NA	NA	100	87	84	84	83	83	83
Seq_78	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__brevicompactum	100	100	100	100	100	100	91
Seq_79	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__potteri	100	100	100	100	100	100	99
Seq_80	k__Fungi	p__Ascomycota	c__Laboulbeniomycetes	o__Pyxidiophorales	NA	NA	NA	100	100	98	98	98	98	98
Seq_81	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__robusta	100	100	100	100	99	96	96
Seq_82	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	NA	100	98	98	98	84	75	19
Seq_83	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	91	52	11	7	2	2
Seq_84	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA	100	100	100	100	68	68	49
Seq_85	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__hyalina	100	100	100	100	100	100	94
Seq_86	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Podospora	s__dimorpha	100	100	99	98	98	82	82
Seq_87	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__intricans	100	100	100	100	99	67	67
Seq_88	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Subulicystidium	s__perlongisporum	100	100	100	100	100	100	53
Seq_89	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	100	48	48	48	48	48
Seq_90	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Rutstroemiaceae	NA	NA	100	100	98	98	85	84	84
Seq_91	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	s__nozdrenkoae	100	100	100	100	100	100	52
Seq_92	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	86	69	28	28	17	5
Seq_93	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinellus	s__fuscocystidiatus	100	100	100	100	100	99	88
Seq_94	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__gamsii	100	100	100	100	100	100	99
Seq_95	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__baccata	100	100	100	100	100	90	86
Seq_96	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	NA	NA	NA	100	97	95	94	34	34	24
Seq_97	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	NA	100	100	98	98	97	97	80
Seq_98	k__Fungi	NA	NA	NA	NA	NA	NA	100	43	23	23	15	15	8
Seq_99	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA	100	95	75	56	25	9	8
Seq_100	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	NA	NA	NA	100	85	82	79	79	79	79
Seq_101	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Pseudopithomyces	NA	100	100	97	97	95	72	72
Seq_102	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__cibarius	100	100	100	100	100	100	65
Seq_103	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	60	32	20	16	16	16
