sample_name	file_name	input	filtered	denoised	merged	tabled	nonchim
Angel-ITS001-soil6-1_S1	Angel-ITS001-soil6-1_S1_L001_R1_001_noPrimers.fastq.gz	44211	30659	30195	28980	28980	28288
Angel-ITS002-soil6-2_S2	Angel-ITS002-soil6-2_S2_L001_R1_001_noPrimers.fastq.gz	33606	24908	24630	22656	22656	22649
Angel-ITS003-soil6-3_S3	Angel-ITS003-soil6-3_S3_L001_R1_001_noPrimers.fastq.gz	53014	35797	35529	34530	34530	34354
Angel-ITS004-soil5-1_S4	Angel-ITS004-soil5-1_S4_L001_R1_001_noPrimers.fastq.gz	60413	38680	38240	36698	36698	35940
Angel-ITS005-soil5-2_S5	Angel-ITS005-soil5-2_S5_L001_R1_001_noPrimers.fastq.gz	43852	31267	30997	29594	29594	29412
Angel-ITS006-soil5-3_S6	Angel-ITS006-soil5-3_S6_L001_R1_001_noPrimers.fastq.gz	64595	43530	43313	42505	42505	41974
Angel-ITS007-soil4-1_S7	Angel-ITS007-soil4-1_S7_L001_R1_001_noPrimers.fastq.gz	53764	36357	35941	34585	34585	34101
Angel-ITS008-soil4-2_S8	Angel-ITS008-soil4-2_S8_L001_R1_001_noPrimers.fastq.gz	40032	29801	29499	28281	28281	28132
Angel-ITS009-soil4-3_S9	Angel-ITS009-soil4-3_S9_L001_R1_001_noPrimers.fastq.gz	53495	38383	37971	36747	36747	36066
Angel-ITS010-GA13_S10	Angel-ITS010-GA13_S10_L001_R1_001_noPrimers.fastq.gz	53112	39093	38993	37494	37494	35370
Angel-ITS011-GA14_S11	Angel-ITS011-GA14_S11_L001_R1_001_noPrimers.fastq.gz	64646	44357	44190	42315	42315	40331
Angel-ITS012-GA15_S12	Angel-ITS012-GA15_S12_L001_R1_001_noPrimers.fastq.gz	61196	44485	44348	43552	43552	41606
Angel-ITS013-GA16_S13	Angel-ITS013-GA16_S13_L001_R1_001_noPrimers.fastq.gz	57256	29802	29692	24496	24496	23407
Angel-ITS014-GB13_S14	Angel-ITS014-GB13_S14_L001_R1_001_noPrimers.fastq.gz	58687	28953	28859	24055	24055	22362
Angel-ITS015-GB14_S15	Angel-ITS015-GB14_S15_L001_R1_001_noPrimers.fastq.gz	62830	34104	34069	26770	26770	25170
Angel-ITS016-GB15_S16	Angel-ITS016-GB15_S16_L001_R1_001_noPrimers.fastq.gz	60877	36890	36804	33513	33513	32129
Angel-ITS017-GB16_S17	Angel-ITS017-GB16_S17_L001_R1_001_noPrimers.fastq.gz	63926	36824	36727	32516	32516	29382
Angel-ITS018-GK13_S18	Angel-ITS018-GK13_S18_L001_R1_001_noPrimers.fastq.gz	59551	33379	33322	27374	27374	27014
Angel-ITS019-GK14_S19	Angel-ITS019-GK14_S19_L001_R1_001_noPrimers.fastq.gz	58411	29463	29409	23331	23331	22526
Angel-ITS020-GK15_S20	Angel-ITS020-GK15_S20_L001_R1_001_noPrimers.fastq.gz	57254	28107	28050	22144	22144	21482
Angel-ITS021-GK16_S21	Angel-ITS021-GK16_S21_L001_R1_001_noPrimers.fastq.gz	50144	25587	25547	21632	21632	20873
Angel-ITS022-Extr-CTRL_S22	Angel-ITS022-Extr-CTRL_S22_L001_R1_001_noPrimers.fastq.gz	9	3	1	0	0	0
Angel-ITS023-Mock-Com_S23	Angel-ITS023-Mock-Com_S23_L001_R1_001_noPrimers.fastq.gz	78203	52174	52162	52150	52150	51191
Angel-ITS024-NTC_S24	Angel-ITS024-NTC_S24_L001_R1_001_noPrimers.fastq.gz	8	4	4	4	4	4
Angel-ITS025-RA13_S25	Angel-ITS025-RA13_S25_L001_R1_001_noPrimers.fastq.gz	51720	39834	39701	18679	18679	17421
Angel-ITS026-RA14_S26	Angel-ITS026-RA14_S26_L001_R1_001_noPrimers.fastq.gz	57384	41980	41851	40819	40819	40014
Angel-ITS027-RA15_S27	Angel-ITS027-RA15_S27_L001_R1_001_noPrimers.fastq.gz	50982	31829	31716	30689	30689	30194
Angel-ITS028-RA16_S28	Angel-ITS028-RA16_S28_L001_R1_001_noPrimers.fastq.gz	55356	39367	39226	27640	27640	27196
