Abundance	Domain	Phylum	Class	Order	Family	Genus
493	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
431	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
11	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
18896	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
4712	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
11725	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
34	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
3980	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
10323	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5146	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1242	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
10326	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5094	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
119	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
178	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
23	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
1998	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
1956	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
15	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
15539	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2729	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
3253	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
2741	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
183	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
364	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
6	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
7050	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3081	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
819	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1594	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
620	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
1318	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
4231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
143	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1820	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
38	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
9	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1329	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
262	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
6	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
3483	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
92	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
189	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
452	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
858	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
1714	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
4	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
99	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
155	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
173	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
211	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
126	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
115	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
96	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
26	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
151	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
43	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
510	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
12	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
870	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
15	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
4	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
3	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
49	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
256	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
347	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
166	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium
101	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
55	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
8	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
25	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
198	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
