Abundance	Domain	Phylum	Class	Order	Family	Genus
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
23	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
5175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
5127	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
50	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
14695	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3529	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1375	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
5501	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
527	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
487	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
214	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
961	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
65	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
403	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
118	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
697	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
455	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
416	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
95	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
2390	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
39	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
10	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
44	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
57	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
20	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
357	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
476	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
358	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
35	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
281	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
121	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
117	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
1923	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
118	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
204	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
103	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
134	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
129	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
94	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
92	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
63	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
64	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
