Abundance	Domain	Phylum	Class	Order	Family	Genus
8	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1040	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
794	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
4332	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
485	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
59	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1839	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
179	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
41	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
55	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
130	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
232	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
19	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
220	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
122	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
231	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
39	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
19	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
37	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
57	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
78	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
149	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
121	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
239	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
65	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
38	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
55	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
38	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
15	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
27	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
29	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
112	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella
25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
