Abundance	Domain	Phylum	Class	Order	Family	Genus
44692	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
4087	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
2300	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
571	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
40	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1589	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
942	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
43	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
828	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
853	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
253	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
957	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
30	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
405	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
464	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
52	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
1368	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
26	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
134	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
356	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
18	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
170	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
266	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
