Abundance	Domain	Phylum	Class	Order	Family	Genus
13548	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
99	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
584	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
91	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
9120	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
161	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
6	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
21	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
379	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
2	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
57	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
142	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
19	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
545	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
39	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
12	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
17	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
7	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
