Abundance	Domain	Phylum	Class	Order	Family	Genus
12099	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
8142	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
520	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
7210	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
147	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
372	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
104	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
125	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
69	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
94	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
127	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
4804	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
153	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
258	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
23	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
237	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
185	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
36	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
1464	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
873	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
330	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
17	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
29	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
1	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
74	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
372	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
57	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
2	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
222	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
222	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
36	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
70	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
124	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
129	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
17	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
20	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
15	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
