Abundance	Domain	Phylum	Class	Order	Family	Genus
4744	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
1326	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
58	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3586	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
49	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
20	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
15	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
1262	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
106	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
69	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
10	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
71	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
125	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
57	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
16	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
2	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
57	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
23	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
122	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
114	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
188	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
208	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
26	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
64	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
416	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
2	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus
12	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
10	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
10	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
2	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
7	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
112	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
8	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
10	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium
11	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
2	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus
1	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor
11	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_fam_Incertae_sedis	Mrakiella
