Abundance	Domain	Phylum	Class	Order	Family	Genus
3483	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
263	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1664	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1674	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
69	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
720	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
23	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
97	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
369	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
6	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
1	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
196	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
113	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
290	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
84	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
18	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
18	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
222	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
51	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
15	Fungi	Ascomycota	Sordariomycetes	Melanosporales	Melanosporaceae	Melanospora
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
