Abundance	Domain	Phylum	Class	Order	Family	Genus
3517	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
18367	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1227	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1087	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1619	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
475	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
703	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
735	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1632	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
580	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
26	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
99	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
58	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
465	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
149	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
804	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
77	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
2	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
51	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
9	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
1000	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
207	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
120	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
466	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
15	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
1095	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
19	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
123	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
48	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
1075	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
752	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
319	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2257	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
113	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
50	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
236	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Unclassified
3	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
228	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1064	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
4	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
252	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
8	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
5	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
156	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Unclassified
10	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
280	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Krasilnikovozyma
4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
127	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
