Abundance	Domain	Phylum	Class	Order	Family	Genus
16372	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
5497	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
3293	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
443	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
22	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
552	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
141	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2187	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
135	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1415	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
152	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
17	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
1380	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1384	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1058	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
952	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
33	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
13	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
694	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
