Abundance	Domain	Phylum	Class	Order	Family	Genus
36	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
5383	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
261	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5737	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
471	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
10058	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
341	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
456	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
9621	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
847	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6813	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
135	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
10446	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1313	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
629	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
257	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
7732	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
83	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
46	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
12	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1719	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2122	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
254	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
90	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
134	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
185	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
2612	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
765	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
6730	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
