Abundance	Domain	Phylum	Class	Order	Family	Genus
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
73	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1673	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
7	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
167	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
584	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
194	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3000	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
76	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
1074	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
40	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
51	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
51	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
21	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
23	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
72	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
10	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
239	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
30	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
3	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
13	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
130	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
40	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
93	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
5	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
228	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
2	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
837	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
53	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
13	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
176	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
286	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
51	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
47	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
187	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
13	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
7	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
