Abundance	Domain	Phylum	Class	Order	Family	Genus
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
13	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1190	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
2228	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
180	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
5155	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3266	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
20219	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
62	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1393	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
8861	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
29	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
875	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
381	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
41	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
8	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
20	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
3229	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
456	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
368	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
54	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
162	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
25	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
436	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
76	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
159	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
252	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
226	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
6178	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
31	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
146	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
64	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
10	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
310	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
