Abundance	Domain	Phylum	Class	Order	Family	Genus
327	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1304	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
44	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1949	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1318	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6063	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
43	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
2479	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
205	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
174	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
20	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
174	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
49	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
28	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
14	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
179	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
13	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
157	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
215	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
1151	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Unclassified	Unclassified
17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
64	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1169	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
1394	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1240	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
782	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
65	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
477	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
321	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
17	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
13	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
833	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
72	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
59	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
97	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
8	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
23	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
416	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
12	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
48	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
73	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
65	Fungi	Basidiomycota	Unclassified	Unclassified	Unclassified	Unclassified
25	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
41	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unclassified
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
166	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
19	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
88	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
9	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema
49	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
