Abundance	Domain	Phylum	Class	Order	Family	Genus
1168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
15	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
139	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1076	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
22	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
507	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
189	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
748	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
47	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
56	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1169	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
46	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
7	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
151	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
616	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
94	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2939	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
53	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
34	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
4	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
24	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
21	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
28	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
10	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
582	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
120	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
