Abundance	Domain	Phylum	Class	Order	Family	Genus
381	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
114	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
549	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
7	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
94	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
112	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
158	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
50	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
965	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
5	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
338	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
34	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
27	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
2635	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
4	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
8	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
28	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
235	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
81	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
110	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
415	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
114	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus
1	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
6	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
