Abundance	Domain	Phylum	Class	Order	Family	Genus
25	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
153	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
180	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
4	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1793	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
118	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1345	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
15	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
2231	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
84	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
647	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
166	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
1166	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
40	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
20	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
6	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
85	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
234	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
189	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
7	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
6	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
79	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
710	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
144	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Unclassified
81	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
470	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
86	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
346	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
117	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
56	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
36	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
51	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix
125	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
8	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
31	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
219	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
139	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
21	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
