Abundance	Domain	Phylum	Class	Order	Family	Genus
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
2238	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
74	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2204	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
118	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
3632	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
53	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
205	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2757	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
363	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
386	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
17	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1767	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
756	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
42256	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
493	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
201	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
9560	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
157	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
27234	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
1449	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
1869	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
124	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
221	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
6	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
72	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
508	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
2	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
382	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
1863	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
207	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
26	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
38	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
40	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
12	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1609	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
264	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
11	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
224	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
52	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
13	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
195	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
123	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
19	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
729	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1428	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
31	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
