Abundance	Domain	Phylum	Class	Order	Family	Genus
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
4	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
837	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
5	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
17	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
636	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
35	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
64	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
27260	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
15927	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
223	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
1	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
7	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
585	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
6	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
85	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
800	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Unclassified
3	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Unclassified
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	Holtermanniales_fam_Incertae_sedis	Holtermanniella
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
13	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Minimelanolocus
