Abundance	Domain	Phylum	Class	Order	Family	Genus
411	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
3475	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
67	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4929	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
5	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
480	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
98	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
45	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
763	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
59	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
234	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
2376	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
12	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
661	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
24	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
471	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
10	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
468	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
18	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
7	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
1586	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
