Abundance	Domain	Phylum	Class	Order	Family	Genus
56	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
999	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1908	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
57	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
18	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
39	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
1151	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
6	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
79	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
24	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
53	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
282	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
49	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
282	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
405	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
10	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
3782	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Roesleria
7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
12	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
15	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium
2	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
22	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
11	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
4	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales_fam_Incertae_sedis	Mrakiella
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Yurkovia
7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus
