Abundance	Domain	Phylum	Class	Order	Family	Genus
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
698	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
306	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
914	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
185	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
664	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
257	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
364	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2778	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
16	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
107	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
2704	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
6034	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
41	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
53	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1828	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
72	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
23	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
31	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
86	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
293	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
10	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
1398	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
110	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2576	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
23	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
28	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
139	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
614	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
53	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
1	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
568	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
333	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
222	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
1254	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
326	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Unclassified
658	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
1	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acrostalagmus
85	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
308	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
40	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
802	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
19	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
525	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
3	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
29	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
73	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
20	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora
80	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
20	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
82	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
10	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
51	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
471	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
44	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
97	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
25	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
143	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
235	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
35	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
16	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Minimelanolocus
40	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
