Abundance	Domain	Phylum	Class	Order	Family	Genus
625	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
109	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
647	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
86	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
467	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
214	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
196	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
217	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
16	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
35	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
281	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
311	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
31	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1828	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
1084	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
21	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
14	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
22	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
11	Fungi	Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Unclassified
23	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
10	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
1	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acrostalagmus
85	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
14	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
288	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
4	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
22	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
3	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
73	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
60	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita
5	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
471	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
72	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
44	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
