Abundance	Domain	Phylum	Class	Order	Family	Genus
23799	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
30244	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
9243	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1680	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
28	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
117	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
13481	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
644	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
7912	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
854	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6115	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5406	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
919	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
3739	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
299	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1635	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
1564	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
7526	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
49	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
1128	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1696	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
245	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
344	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
10751	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
119	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
249	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
2587	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
22	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
4452	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
7	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1255	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1330	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1703	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
6	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
6	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
1522	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
73	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
971	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
4	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
487	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
386	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
5	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
2017	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
326	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
776	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
1081	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
159	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
2815	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1834	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
72	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
533	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
3	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
135	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
23	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
531	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
44	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Unclassified
3636	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
679	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
61	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Roesleria
1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
36	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1154	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
8	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea
