Abundance	Domain	Phylum	Class	Order	Family	Genus
293	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
183	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
343	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3566	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
874	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
4722	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
12027	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1326	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4733	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
77	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1051	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
573	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
2027	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
76	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
560	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
56	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
3802	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
2780	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
8	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
489	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
