Abundance	Domain	Phylum	Class	Order	Family	Genus
86	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
107	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
178	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1116	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
98	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1888	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
3499	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
317	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1455	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
14	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
229	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
132	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
601	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
203	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
76	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
2867	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
122	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
511	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
332	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
10	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
21	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
