Abundance	Domain	Phylum	Class	Order	Family	Genus
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
40	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
178	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
661	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
66	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
934	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
2709	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
247	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
829	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
99	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
335	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
203	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
2582	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
86	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
340	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
103	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
37	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
10	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
445	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
51	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
177	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
83	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
11	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
