Abundance	Domain	Phylum	Class	Order	Family	Genus
452	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
154	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
297	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2930	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
3338	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
7799	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
650	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1974	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
59	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
229	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
310	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1145	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
69	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
7666	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
223	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
615	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
694	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
4	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
777	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
96	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
707	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
647	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
45	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
529	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1415	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
354	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
15	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
96	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
175	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
201	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
41	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
312	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1256	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
14	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
195	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
212	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
87	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
43	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
140	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1166	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
120	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
57	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma
42	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
299	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
18	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
