Abundance	Domain	Phylum	Class	Order	Family	Genus
2958	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
638	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
1270	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
3079	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
3861	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
8065	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
731	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2493	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
460	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
233	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1368	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
21	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
887	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
46	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
848	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
283	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
122	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
364	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
422	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
24	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
17	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
392	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
61	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
280	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
756	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
92	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
152	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
96	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
142	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
6	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
105	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
245	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
1912	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
