Abundance	Domain	Phylum	Class	Order	Family	Genus
2947	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
602	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
932	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2222	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
104	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
2207	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
7674	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
464	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1537	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
438	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
30	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1312	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
21	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
670	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
12	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
800	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
262	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
122	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
280	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
422	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
392	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
61	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
749	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
92	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
91	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
91	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
132	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
6	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
105	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
245	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
1550	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
45	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
188	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
135	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
319	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
487	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
180	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
432	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
328	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
23	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
1490	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
502	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
652	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
332	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
40	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
20	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
41	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
360	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
39	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
63	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
17	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
247	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
63	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
24	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
71	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
109	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
691	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
571	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
3163	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
29	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
473	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
39	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
78	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Unclassified
15	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
153	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
19	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
109	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
5	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
15	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Roesleria
1	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis
