Abundance	Domain	Phylum	Class	Order	Family	Genus
56	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
256	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
102	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
833	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
260	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
5755	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1405	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
655	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
3073	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
298	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
253	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
1054	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
650	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
19	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
1260	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
21	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
38	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
56	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
36	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
2986	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
134	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
14	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
14	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
782	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
115	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
28	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
394	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
32	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
118	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
897	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
42	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
5	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
45	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
357	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
330	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
862	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
256	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Unclassified
1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
356	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
107	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
103	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
