Abundance	Domain	Phylum	Class	Order	Family	Genus
52	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
107	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
147	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
89	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1361	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
513	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
283	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
246	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
204	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1114	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
127	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
20	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
5	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
177	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
26	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
275	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
643	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
113	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
537	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
13	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
12	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
151	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
955	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
177	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
29	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
1067	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
1748	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
144	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
168	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
11	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
