Abundance	Domain	Phylum	Class	Order	Family	Genus
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
105	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
4	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
58	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
59	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1036	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
361	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
131	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
107	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
173	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
756	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
84	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
111	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
225	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
584	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
99	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Paulisebacina
513	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
13	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
98	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
