Abundance	Domain	Phylum	Class	Order	Family	Genus
55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
117	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
759	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
763	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
636	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
4256	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
1476	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
974	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1378	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
285	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1619	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
798	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
350	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
79	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
558	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
85	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
151	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
261	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
776	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
44	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
79	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
492	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
349	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
241	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
493	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
19	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
25	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
187	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
19	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
498	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
370	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
74	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
11	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
38	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
512	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
321	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
73	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
805	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
209	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
48	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
149	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
26	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
87	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
11	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
20	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
68	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
106	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
119	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
29	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
