Abundance	Domain	Phylum	Class	Order	Family	Genus
12	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
13	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
186	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
302	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
230	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1049	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
389	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
440	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
49	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
539	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
212	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
18	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
140	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
29	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
37	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
199	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
17	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
31	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
156	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
167	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
134	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
134	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
6	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
7	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
40	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
109	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
3	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
129	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
100	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
130	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
62	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
33	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
