Abundance	Domain	Phylum	Class	Order	Family	Genus
108	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
486	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
242	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1357	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
272	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
4843	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
1451	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
618	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
4356	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
84	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2260	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
165	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
910	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
81	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
5022	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
95	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
1284	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
238	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
666	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
61	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
3	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium
1238	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
14	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
194	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
268	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
15	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
561	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
550	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
1041	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
1	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
602	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
16	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
662	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
14	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
243	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
4	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
230	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
139	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
30	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
255	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
255	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
132	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma
247	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
14	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
12	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
543	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
64	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
80	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
907	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
127	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unclassified	Unclassified
568	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
17	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
73	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
16	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Subulicystidium
10	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
269	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
34	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
240	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Unclassified
533	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
878	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
16	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
3	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis
1	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
30	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Laetinaevia
627	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis
189	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
471	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma
13	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
413	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium
1022	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Endophoma
25	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Unclassified
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
167	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
2	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Unclassified
9	Fungi	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
278	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces
50	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
45	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella
81	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
198	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium
80	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora
33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella
16	Fungi	Ascomycota	Sordariomycetes	Sordariales	Unclassified	Unclassified
129	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
54	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
230	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
607	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella
