Abundance	Domain	Phylum	Class	Order	Family	Genus
46	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
276	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
76	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
397	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
85	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1509	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
466	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
77	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1487	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
31	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
327	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
55	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
332	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
42	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
1001	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
20	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
321	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
102	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
308	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
10	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiotremataceae	Lophiotrema
80	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
295	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
3	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
182	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
280	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium
202	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
5	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora
103	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
101	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
20	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
8	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
74	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
255	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
80	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
