Abundance	Domain	Phylum	Class	Order	Family	Genus
126	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
119	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
286	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
1963	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
103	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
1860	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
2941	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
192	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
1233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
41	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
96	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
143	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
422	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
291	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
72	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
22	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
2	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
150	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Unclassified	Unclassified
484	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
115	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
215	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
3	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
525	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
137	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
97	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
9	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
14	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
5	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
701	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
53	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
12	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella
7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helicodendron
827	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa
288	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria
8	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium
304	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
943	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
364	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella
84	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Unclassified
36	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Pezizella
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria
281	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala
18	Fungi	Ascomycota	Leotiomycetes	Helotiales	Unclassified	Unclassified
17	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
4	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia
114	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon
