Abundance	Domain	Phylum	Class	Order	Family	Genus
61	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
42	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
98	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
881	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
55	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys
969	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
2533	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
136	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
646	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
60	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
239	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
23	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
58	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
290	Fungi	Ascomycota	Sordariomycetes	Unclassified	Unclassified	Unclassified
76	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia
214	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella
115	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Monodictys
5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella
