"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_63","Seq_63",0.752110594676026,2.83725333046839,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_53","Seq_53",1.06316450686832,2.80565993480898,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_7","Seq_7",5.74832309208023,2.73651744544599,"Rare","Tremellomycetes","Piskurozymaceae","Solicoccozyma"
"Seq_41","Seq_41",1.14805301508626,2.68994401038427,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_69","Seq_69",0.582499870151363,2.0802028956613,"Rare","Eurotiomycetes","Herpotrichiellaceae","Exophiala"
"Seq_113","Seq_113",0.340369074032218,2.03958358113621,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_170","Seq_170",0.204632710655085,1.77698955860458,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_189","Seq_189",0.198930607885372,1.5080870196973,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_255","Seq_255",0.0915602288606465,1.43795415792676,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_106","Seq_106",0.339452372750935,1.38715438807069,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_94","Seq_94",0.372770104263637,1.36226505744747,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_59","Seq_59",0.733462025719831,1.27224110459795,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_23","Seq_23",2.42742040694747,1.25158648174764,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_290","Seq_290",0.0704453346842705,1.17112495067215,"Pleosporales","Dothideomycetes","Phaeosphaeriaceae","Paraphoma"
"Seq_143","Seq_143",0.220857903152132,1.14503153236523,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_127","Seq_127",0.218928849470589,1.04511345736139,"Pleosporales","Dothideomycetes","Cucurbitariaceae","Pyrenochaetopsis"
"Seq_142","Seq_142",0.15766706062999,1.0323382773958,"Xylariales","Sordariomycetes","Apiosporaceae","Unclassified"
"Seq_216","Seq_216",0.0862270478013514,1.02384473749537,"Hypocreales","Sordariomycetes","Clavicipitaceae","Metarhizium"
"Seq_221","Seq_221",0.135439665617169,0.94714939282218,"Sordariales","Sordariomycetes","Lasiosphaeriaceae","Podospora"
"Seq_121","Seq_121",0.277600117891334,0.930645214380063,"Hypocreales","Sordariomycetes","Hypocreales_fam_Incertae_sedis","Acremonium"
"Seq_50","Seq_50",0.818697976144059,0.923040990828406,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_78","Seq_78",0.6499809517978,-0.860161690219189,"Rare","Eurotiomycetes","Aspergillaceae","Penicillium"
"Seq_283","Seq_283",0.0675326693840456,0.841075718621574,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_197","Seq_197",0.107435538227669,0.810206154894499,"Rare","Sordariomycetes","Plectosphaerellaceae","Acrostalagmus"
"Seq_34","Seq_34",0.185189287523866,0.806988928435184,"Pleosporales","Dothideomycetes","Pleosporales_fam_Incertae_sedis","Monodictys"
"Seq_262","Seq_262",0.0962627454515334,0.803083122567358,"Hypocreales","Sordariomycetes","Bionectriaceae","Gliomastix"
"Seq_42","Seq_42",1.20086353814513,-0.794302954398079,"Rare","Eurotiomycetes","Aspergillaceae","Penicillium"
"Seq_164","Seq_164",0.135841270839737,0.714635616107519,"Pleosporales","Dothideomycetes","Cucurbitariaceae","Pyrenochaetopsis"
"Seq_74","Seq_74",0.537069978797451,-0.714117051106684,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_204","Seq_204",0.200671130038711,-0.701272144113828,"Rare","Dothideomycetes","Eremomycetaceae","Arthrographis"
"Seq_402","Seq_402",0.0407137719459105,0.699382393074693,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_97","Seq_97",0.275239341318957,0.697570009198465,"Pleosporales","Dothideomycetes","Phaeosphaeriaceae","Paraphoma"
"Seq_280","Seq_280",0.093109268542197,0.694401389881006,"Rare","Eurotiomycetes","Cyphellophoraceae","Cyphellophora"
"Seq_272","Seq_272",0.0767680909182769,0.689944484889434,"Sordariales","Sordariomycetes","Chaetomiaceae","Humicola"
"Seq_75","Seq_75",0.445489496424059,0.679575719804924,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_14","Seq_14",1.59414987017817,-0.661103350159543,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_38","Seq_38",0.579564799383637,-0.659202640701916,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_6","Seq_6",4.52102190814137,0.654845572332557,"Hypocreales","Sordariomycetes","Nectriaceae","Unclassified"
"Seq_15","Seq_15",2.09443765021315,0.64807949910449,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_32","Seq_32",0.539727544130959,0.647347479996728,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_118","Seq_118",0.25411259062544,0.643756295813563,"Hypocreales","Sordariomycetes","Unclassified","Unclassified"
"Seq_9","Seq_9",3.64379998273857,0.632092887234406,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_22","Seq_22",0.0367147735454919,0.627666370088641,"Hypocreales","Sordariomycetes","Unclassified","Unclassified"
"Seq_455","Seq_455",0.0392198650457238,0.607076894253858,"Sordariales","Sordariomycetes","Lasiosphaeriaceae","Schizothecium"
"Seq_33","Seq_33",0.191148314014922,-0.605336020053207,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_29","Seq_29",1.36525908152474,-0.600559119187527,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_126","Seq_126",0.169099667585064,0.58861201260338,"Pleosporales","Dothideomycetes","Unclassified","Unclassified"
"Seq_248","Seq_248",0.112161228077893,0.587586370120528,"Helotiales","Leotiomycetes","Unclassified","Unclassified"
"Seq_117","Seq_117",0.122753340275954,0.574594839462967,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_148","Seq_148",0.172165098345405,0.535623736255988,"Pleosporales","Dothideomycetes","Cucurbitariaceae","Pyrenochaetopsis"
"Seq_19","Seq_19",0.366896724856851,-0.531163659732197,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_27","Seq_27",0.49724911266023,-0.512000323998616,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_558","Seq_558",0.0204594905912995,0.506998543091422,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_244","Seq_244",0.0566000886074102,0.498402018942823,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_395","Seq_395",0.0269069379913764,0.49462648058186,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_154","Seq_154",0.0300020897641673,-0.486134042915737,"Helotiales","Leotiomycetes","Sclerotiniaceae","Botrytis"
"Seq_298","Seq_298",0.0442247988087415,0.483652412618009,"Sordariales","Sordariomycetes","Lasiosphaeriaceae","Unclassified"
"Seq_81","Seq_81",0.367296425177438,-0.476983109278129,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_37","Seq_37",0.685131292406269,-0.475161598585681,"Rare","Microbotryomycetes","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium"
"Seq_13","Seq_13",0.740739544537244,0.469844063428219,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_384","Seq_384",0.0207226795312982,-0.452926116051027,"Rare","Microbotryomycetes","Sporidiobolaceae","Rhodosporidiobolus"
"Seq_617","Seq_617",0.0161340661242288,0.450105044100227,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_228","Seq_228",0.0868516788285963,-0.45003123517707,"Hypocreales","Sordariomycetes","Nectriaceae","Volutella"
"Seq_12","Seq_12",4.19395389443407,-0.435903064422706,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_306","Seq_306",0.0349478674179581,0.434147780684863,"Pleosporales","Dothideomycetes","Sporormiaceae","Preussia"
"Seq_212","Seq_212",0.0905383111573022,0.432130742756398,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_57","Seq_57",0.235900837896733,-0.425101058856853,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_107","Seq_107",0.059748832053335,-0.422931366606824,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_415","Seq_415",0.0227772413580485,-0.412911396239155,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_104","Seq_104",0.218229858635562,-0.408579226084438,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_539","Seq_539",0.014384504936997,0.398134683096724,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_546","Seq_546",0.0145030506207667,0.389603258103336,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_579","Seq_579",0.018007228404449,0.377669684402903,"Rare","Rozellomycotina_cls_Incertae_sedis","Unclassified","Unclassified"
"Seq_31","Seq_31",1.17268027597922,0.372190505335233,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_2","Seq_2",4.39485680846025,-0.345909952373072,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
