"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_53","Seq_53",1.10705924098703,2.19370296803915,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_7","Seq_7",5.9865534620477,2.18240895195907,"Rare","Tremellomycetes","Piskurozymaceae","Solicoccozyma"
"Seq_113","Seq_113",0.350883250347679,2.12384262521656,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_63","Seq_63",0.797177003982862,1.72759637107852,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_170","Seq_170",0.21239145719294,1.64507128019928,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_41","Seq_41",1.22593337273531,1.53800593831867,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_255","Seq_255",0.0941687613795171,1.3637491790853,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_189","Seq_189",0.205191256440437,1.35874830323591,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_23","Seq_23",2.48161636672151,1.3361843141197,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_69","Seq_69",0.640774653982509,1.24615056041939,"Rare","Eurotiomycetes","Herpotrichiellaceae","Exophiala"
"Seq_106","Seq_106",0.348440151675212,1.23265931685557,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_59","Seq_59",0.750229471980547,1.22410227020792,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_143","Seq_143",0.231606519838704,1.08576030205029,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_94","Seq_94",0.383180169902264,1.06683498238206,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_134","Seq_134",0.123044528157979,1.06239749068719,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_216","Seq_216",0.0871357078046212,1.02047081227431,"Hypocreales","Sordariomycetes","Clavicipitaceae","Metarhizium"
"Seq_121","Seq_121",0.285253751450018,0.999564358569301,"Hypocreales","Sordariomycetes","Hypocreales_fam_Incertae_sedis","Acremonium"
"Seq_50","Seq_50",0.73728777262489,0.939081570306813,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_75","Seq_75",0.336754760930812,0.925213243334153,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_142","Seq_142",0.161787385527196,0.916658529861808,"Xylariales","Sordariomycetes","Apiosporaceae","Unclassified"
"Seq_221","Seq_221",0.143465614574412,0.879030998970164,"Sordariales","Sordariomycetes","Lasiosphaeriaceae","Podospora"
"Seq_14","Seq_14",1.2645539648736,-0.767885854061971,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_33","Seq_33",0.474569327228892,-0.758223459982901,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_5","Seq_5",0.719681298805131,0.725558566962676,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_262","Seq_262",0.100803672189666,0.725327098417735,"Hypocreales","Sordariomycetes","Bionectriaceae","Gliomastix"
"Seq_197","Seq_197",0.109633699339516,0.711547122618698,"Rare","Sordariomycetes","Plectosphaerellaceae","Acrostalagmus"
"Seq_19","Seq_19",1.10302325769656,-0.693908054266159,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_280","Seq_280",0.0983181520763982,0.672534306628057,"Rare","Eurotiomycetes","Cyphellophoraceae","Cyphellophora"
"Seq_290","Seq_290",0.0855492507279747,0.663512868090338,"Pleosporales","Dothideomycetes","Phaeosphaeriaceae","Paraphoma"
"Seq_8","Seq_8",2.19486008378428,0.663430091481319,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_283","Seq_283",0.0786855728341563,0.648996920870759,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_15","Seq_15",3.1893439899336,0.647963351041691,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_127","Seq_127",0.277532966298964,0.640038626876558,"Pleosporales","Dothideomycetes","Cucurbitariaceae","Pyrenochaetopsis"
