"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_6","Seq_6",3.1726281178585,-2.55942475692583,"Hypocreales","Sordariomycetes","Nectriaceae","Unclassified"
"Seq_15","Seq_15",1.92776096981447,-2.55316159355627,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_9","Seq_9",3.14282278398156,-2.30669212663847,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_24","Seq_24",4.28473953655462,2.12175886833372,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_13","Seq_13",0.644093005109457,2.08396430457287,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_10","Seq_10",0.834998965852853,2.0197434482381,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_1","Seq_1",10.2122410948187,1.94815995723782,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_75","Seq_75",0.333437502010542,-1.8125344205956,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_19","Seq_19",0.749029185116406,1.75087845744739,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_8","Seq_8",2.06456870082753,-1.72912235386553,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_32","Seq_32",0.789293352101067,-1.46675841879366,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_3","Seq_3",0.373091795790267,1.25493234914137,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_51","Seq_51",0.134068802685022,1.15346487108949,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_5","Seq_5",6.20960542139323,-1.08727762533376,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_50","Seq_50",0.573621529048,-1.055708747995,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_33","Seq_33",0.18717203595908,1.04057220568293,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_29","Seq_29",1.96721120240122,1.00397848656592,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_11","Seq_11",3.69899240130336,-0.997638809311737,"Pleosporales","Dothideomycetes","Pleosporaceae","Alternaria"
"Seq_2","Seq_2",5.06630573838596,0.925173643138335,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_73","Seq_73",0.670696232311177,0.896908009613069,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_17","Seq_17",0.216481118198245,0.874277579686962,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_35","Seq_35",0.406934359287486,0.853066096120344,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_4","Seq_4",7.80170044915056,0.851575396370142,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_406","Seq_406",0.0845528694449374,0.780057118955438,"Rare","Microbotryomycetes","Leucosporidiaceae","Leucosporidium"
"Seq_123","Seq_123",0.128577905195482,-0.774722008744225,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_38","Seq_38",0.535119872980624,0.767805564708327,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_212","Seq_212",0.0570647348208814,-0.758301024278014,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_87","Seq_87",0.373608256932157,-0.748757601458826,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_302","Seq_302",0.053193206231681,-0.718271529804034,"Rare","Saccharomycetes","Debaryomycetaceae","Schwanniomyces"
"Seq_316","Seq_316",0.0322485982790454,0.688207802205897,"Rare","Tremellomycetes","Holtermanniales_fam_Incertae_sedis","Holtermanniella"
"Seq_134","Seq_134",0.0890219557625563,-0.66897554097229,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_48","Seq_48",0.774652414426458,0.665000060687353,"Helotiales","Leotiomycetes","Helotiaceae","Helicodendron"
"Seq_229","Seq_229",0.15329943628476,0.651752956834123,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_119","Seq_119",0.0590098578042078,0.645433016846394,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_157","Seq_157",0.0342801823103889,0.626088477275098,"Helotiales","Leotiomycetes","Dermateaceae","Laetinaevia"
"Seq_101","Seq_101",0.336291750347297,-0.609050733557705,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_66","Seq_66",0.195215162213688,-0.570422324386612,"Rare","Dothideomycetes","Cladosporiaceae","Cladosporium"
