"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_10","Seq_10",0.751210341899896,-3.39383393827378,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_15","Seq_15",2.07274932493051,2.78776811153455,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_1","Seq_1",10.9592167919378,-2.77272996560575,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_13","Seq_13",0.686025203890497,-2.55128138823625,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_24","Seq_24",4.62641667036541,-2.49549853711273,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_8","Seq_8",8.21069194798874,2.48106111616789,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_19","Seq_19",0.741281620872838,-2.43596261281601,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_2","Seq_2",4.55810609877232,-2.42887568205318,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_3","Seq_3",0.358106561138957,-1.93227283851603,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_32","Seq_32",1.8389567738818,1.79108307655502,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_17","Seq_17",0.0891007531283457,-1.73574984341445,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_9","Seq_9",1.75834625542977,1.66862382672073,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_6","Seq_6",2.84975922664753,1.66537365350074,"Hypocreales","Sordariomycetes","Nectriaceae","Unclassified"
"Seq_4","Seq_4",6.39787534339733,-1.62985836901724,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_81","Seq_81",0.506647318959161,-1.53766427351369,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_33","Seq_33",0.154802558173647,-1.46455986102945,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_48","Seq_48",0.689907618357432,-1.35487098371437,"Helotiales","Leotiomycetes","Helotiaceae","Helicodendron"
"Seq_21","Seq_21",0.711653048226748,-1.33763007115715,"Hypocreales","Sordariomycetes","Nectriaceae","Fusicolla"
"Seq_35","Seq_35",0.389861094045565,-1.30549080473165,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_5","Seq_5",5.05092149400397,1.28330437550501,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_75","Seq_75",0.0714992858264453,1.15798843976928,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_14","Seq_14",1.05439999380594,-1.11867308182579,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_51","Seq_51",0.144256589691329,-1.11599414039954,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_29","Seq_29",2.11983112739233,-1.09561651343432,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_102","Seq_102",0.705148411157841,1.02688563017072,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_31","Seq_31",0.886738298925794,-1.02279460641867,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_104","Seq_104",0.215737943321329,-1.01412369435411,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_45","Seq_45",2.37774129479616,0.945911862184731,"Pleosporales","Dothideomycetes","Lophiotremataceae","Lophiotrema"
"Seq_316","Seq_316",0.0333198663299725,-0.831447017116766,"Rare","Tremellomycetes","Holtermanniales_fam_Incertae_sedis","Holtermanniella"
"Seq_73","Seq_73",0.729347026472336,-0.828111410948217,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_38","Seq_38",0.574813745702296,-0.808821406950985,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_123","Seq_123",0.139876530660578,0.789822610882326,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_182","Seq_182",0.0886241711827664,0.781846307634125,"Pleosporales","Dothideomycetes","Didymellaceae","Endophoma"
"Seq_12","Seq_12",4.09540688826057,0.777935431437187,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_157","Seq_157",0.0334565947888351,-0.76634054388697,"Helotiales","Leotiomycetes","Dermateaceae","Laetinaevia"
