"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_182","Seq_182",0.0751191851518183,1.1779948752773,"Pleosporales","Dothideomycetes","Didymellaceae","Endophoma"
"Seq_45","Seq_45",2.21374680163165,1.17257628371156,"Pleosporales","Dothideomycetes","Lophiotremataceae","Lophiotrema"
"Seq_14","Seq_14",3.6687485125014,-1.09051049932898,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_441","Seq_441",0.0475120975543962,0.958928781799989,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_81","Seq_81",0.266882358409756,-0.897493171481705,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_2","Seq_2",1.03378160789633,-0.862862881050129,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_50","Seq_50",0.617105872746183,-0.842458392064409,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_21","Seq_21",0.047772753549942,-0.812054532391942,"Hypocreales","Sordariomycetes","Nectriaceae","Fusicolla"
"Seq_137","Seq_137",0.522593571460491,0.797051483401186,"Pleosporales","Dothideomycetes","Lophiotremataceae","Lophiotrema"
"Seq_179","Seq_179",0.46733575742631,0.785987443877095,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_234","Seq_234",0.208201181313879,0.747140822291452,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_352","Seq_352",0.0203025186941626,0.714110452289111,"Rare","Dothideomycetes","Mycosphaerellaceae","Mycosphaerella"
"Seq_302","Seq_302",0.0558170998033042,-0.71179795770843,"Rare","Saccharomycetes","Debaryomycetaceae","Schwanniomyces"
"Seq_102","Seq_102",0.824029278801564,0.708981777018716,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_101","Seq_101",0.367580597497912,-0.69891904431604,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_31","Seq_31",1.5566206746336,-0.698262752242505,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_8","Seq_8",9.6835041818909,0.685043873114522,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_435","Seq_435",0.100247722889069,0.659654315828456,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_228","Seq_228",0.0966909714674846,-0.592857315088351,"Hypocreales","Sordariomycetes","Nectriaceae","Volutella"
