"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_9","Seq_9",2.87805027913498,-3.50026720941873,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_6","Seq_6",2.89472726753626,-3.26566893412059,"Hypocreales","Sordariomycetes","Nectriaceae","Unclassified"
"Seq_15","Seq_15",1.87052884667171,-3.18195314273641,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_31","Seq_31",0.930614590556698,-2.78062912509379,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_50","Seq_50",0.509881819688235,-2.35032060510694,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_75","Seq_75",0.309096906893424,-2.34624257368323,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_8","Seq_8",1.91770124855031,-2.23372894007154,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_3","Seq_3",3.54409813387606,2.21651553871382,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_32","Seq_32",0.738456981635994,-2.15375696334791,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_1","Seq_1",13.7689543616295,2.10551859768726,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_13","Seq_13",1.86330088424565,2.04886644405814,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_19","Seq_19",1.55161704589599,1.99435986191097,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_5","Seq_5",5.67322803909187,-1.97135784818158,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_44","Seq_44",0.60333463548934,1.96979213604193,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_10","Seq_10",2.71523366088852,1.8872601138598,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_51","Seq_51",0.420922883709837,1.86823274098683,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_27","Seq_27",0.870693343817753,1.79516243798373,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_55","Seq_55",0.378463348639068,1.76812687285999,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_73","Seq_73",0.212660734021662,1.7121438104777,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_33","Seq_33",0.856013050562257,1.67007056397723,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
