"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_31","Seq_31",0.647531312583856,-3.27923100299765,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_4","Seq_4",6.10577390875565,-2.32570905268161,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_24","Seq_24",4.36237601373874,-2.21220195366365,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_55","Seq_55",0.404605817225297,1.79876670626748,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_44","Seq_44",0.648626094506446,1.38393797399201,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_95","Seq_95",0.18014724677341,1.36946286283014,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_67","Seq_67",0.383998393274534,1.28105465269296,"Helotiales","Leotiomycetes","Hyaloscyphaceae","Pezizella"
"Seq_17","Seq_17",1.90530338728964,1.19698683188033,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_70","Seq_70",0.39896136076602,1.18690302753792,"Helotiales","Leotiomycetes","Unclassified","Unclassified"
"Seq_36","Seq_36",0.668710878917244,1.08961466089932,"Rare","Dothideomycetes","Mycosphaerellaceae","Mycosphaerella"
"Seq_3","Seq_3",4.06763708522869,1.06819033304335,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_81","Seq_81",0.510597967249387,-1.0354885419292,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_240","Seq_240",0.0517958908790727,0.999043990985376,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_107","Seq_107",0.163478900179162,0.997374733497491,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_80","Seq_80",0.380792552501219,0.985194207064119,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_85","Seq_85",0.277994286711365,0.965857625857749,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_203","Seq_203",0.0702277896043339,0.851971749085375,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_74","Seq_74",0.424542390751983,-0.847879983539877,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_27","Seq_27",0.981655513635521,0.837211790371245,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_40","Seq_40",0.867318454336306,0.774287976809934,"Rare","Pezizomycetes","Pezizaceae","Peziza"
"Seq_64","Seq_64",0.432846896738531,0.773620957978148,"Rare","Pezizomycetes","Pyronemataceae","Unclassified"
"Seq_20","Seq_20",1.90058570908937,0.75322710913318,"Rare","Pezizomycetes","Pezizaceae","Peziza"
"Seq_50","Seq_50",0.0341155675289884,-0.714286240339402,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_57","Seq_57",0.471188993559384,0.651136669511367,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_272","Seq_272",0.0712621146703548,-0.649763790281831,"Sordariales","Sordariomycetes","Chaetomiaceae","Humicola"
"Seq_229","Seq_229",0.171373635742229,-0.648595653612396,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_72","Seq_72",0.159107216858877,0.617255484981033,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_128","Seq_128",0.074435697663802,0.583178997048676,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Roesleria"
"Seq_43","Seq_43",0.640663552788392,0.578170649419498,"Rare","Agaricomycetes","Sebacinaceae","Paulisebacina"
"Seq_33","Seq_33",1.00475966831099,0.41423583832164,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
