"","OTU","baseMean","effect","Order","Class","Family","Genus"
"Seq_3","Seq_3",3.75259650445146,3.52860649489639,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_15","Seq_15",1.94906712215136,-3.25827185193469,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_10","Seq_10",2.74723501902776,3.25143259371709,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_8","Seq_8",7.48490979338411,-3.09991101450214,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_19","Seq_19",1.58848459545358,3.05209476472793,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_13","Seq_13",1.97388778053636,3.04377917682327,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_1","Seq_1",14.6798112756585,2.96236556708899,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_17","Seq_17",1.83386149891305,2.90805035898618,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_2","Seq_2",7.84472468099037,2.8167324834516,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_33","Seq_33",0.866287737572393,2.58741625666086,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_9","Seq_9",1.67760898826193,-2.46803943113233,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_5","Seq_5",4.56689895227594,-2.42428965084462,"Hypocreales","Sordariomycetes","Bionectriaceae","Clonostachys"
"Seq_6","Seq_6",2.72456466781708,-2.37591471238749,"Hypocreales","Sordariomycetes","Nectriaceae","Unclassified"
"Seq_32","Seq_32",1.77484560455499,-2.3207550082512,"Xylariales","Sordariomycetes","Unclassified","Unclassified"
"Seq_48","Seq_48",0.44487058439036,1.94294417021577,"Helotiales","Leotiomycetes","Helotiaceae","Helicodendron"
"Seq_21","Seq_21",1.07569701810833,1.93638997490727,"Hypocreales","Sordariomycetes","Nectriaceae","Fusicolla"
"Seq_44","Seq_44",0.64713880165922,1.84719019919914,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_51","Seq_51",0.45305621252964,1.75803752061798,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_36","Seq_36",0.661344249453929,1.69370320465935,"Rare","Dothideomycetes","Mycosphaerellaceae","Mycosphaerella"
"Seq_73","Seq_73",0.227542801139384,1.67850738984489,"Rare","Tremellomycetes","Mrakiaceae","Mrakia"
"Seq_27","Seq_27",0.931068167915741,1.65600346757671,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_75","Seq_75",0.0680095112552297,-1.64295447132346,"Hypocreales","Sordariomycetes","Nectriaceae","Cylindrocarpon"
"Seq_74","Seq_74",0.414530776828921,-1.62305741374945,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_35","Seq_35",0.699211559853772,1.59006471339593,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_55","Seq_55",0.404799419107629,1.58274155700285,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_107","Seq_107",0.158051485020382,1.42985360351436,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_70","Seq_70",0.400751033380976,1.42530750607624,"Helotiales","Leotiomycetes","Unclassified","Unclassified"
"Seq_29","Seq_29",0.565113703647141,1.40781000192648,"Rare","Tremellomycetes","Mrakiaceae","Tausonia"
"Seq_31","Seq_31",0.179473083271048,-1.35811566942723,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_182","Seq_182",0.0760098979137239,-1.34694505705149,"Pleosporales","Dothideomycetes","Didymellaceae","Endophoma"
"Seq_95","Seq_95",0.180188099686629,1.31221137341096,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_102","Seq_102",0.808607819918836,-1.30994301181135,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_67","Seq_67",0.3830895091132,1.29763564492127,"Helotiales","Leotiomycetes","Hyaloscyphaceae","Pezizella"
"Seq_64","Seq_64",0.423944139721059,1.26955924296819,"Rare","Pezizomycetes","Pyronemataceae","Unclassified"
"Seq_80","Seq_80",0.384748284331776,1.23205339024064,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_14","Seq_14",0.247655720113234,1.22689343720841,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_45","Seq_45",2.30517970918345,-1.1621820537522,"Pleosporales","Dothideomycetes","Lophiotremataceae","Lophiotrema"
"Seq_11","Seq_11",2.19088162511461,-1.1530265928119,"Pleosporales","Dothideomycetes","Pleosporaceae","Alternaria"
"Seq_123","Seq_123",0.12699657461496,-1.13475977627601,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_441","Seq_441",0.0478563819584883,-1.08094736122256,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_145","Seq_145",0.156771431658664,-1.03595371702341,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_12","Seq_12",3.72115355014382,-1.01413773883626,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_203","Seq_203",0.06927848617956,1.00689035653255,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_235","Seq_235",0.059050482125153,-0.996578096090511,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_257","Seq_257",0.0368577899646762,-0.97991147909891,"Hypocreales","Sordariomycetes","Hypocreales_fam_Incertae_sedis","Sarocladium"
"Seq_38","Seq_38",0.574215782156805,0.9736032997111,"Hypocreales","Sordariomycetes","Nectriaceae","Nectria"
"Seq_84","Seq_84",0.311723282003549,0.95248713230182,"Helotiales","Leotiomycetes","Helotiaceae","Tetracladium"
"Seq_240","Seq_240",0.0511443790806999,0.945766985439312,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_119","Seq_119",0.154119396304359,0.936304725839168,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Mycoarthris"
"Seq_85","Seq_85",0.278083947704039,0.915198620228132,"Rare","Mortierellomycetes","Mortierellaceae","Mortierella"
"Seq_134","Seq_134",0.185727084042394,-0.893518739516573,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_23","Seq_23",0.126308498484148,-0.889176698473731,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_42","Seq_42",0.500329917288922,-0.875938023907529,"Rare","Eurotiomycetes","Aspergillaceae","Penicillium"
"Seq_78","Seq_78",0.825480721438883,-0.869260795855133,"Rare","Eurotiomycetes","Aspergillaceae","Penicillium"
"Seq_50","Seq_50",0.0521401541111512,-0.868997957675709,"Hypocreales","Sordariomycetes","Nectriaceae","Ilyonectria"
"Seq_103","Seq_103",0.277095214262127,-0.832695229306776,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_204","Seq_204",0.292978428899415,-0.829716029599098,"Rare","Dothideomycetes","Eremomycetaceae","Arthrographis"
"Seq_210","Seq_210",0.22675558254149,-0.829472750511407,"Pleosporales","Dothideomycetes","Lophiostomataceae","Lophiostoma"
"Seq_179","Seq_179",0.469172562675945,-0.828303988704512,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_137","Seq_137",0.525600036380301,-0.818303667132962,"Pleosporales","Dothideomycetes","Lophiotremataceae","Lophiotrema"
"Seq_234","Seq_234",0.205797610667177,-0.81731697646039,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_352","Seq_352",0.0211833646933594,-0.816964121849583,"Rare","Dothideomycetes","Mycosphaerellaceae","Mycosphaerella"
"Seq_520","Seq_520",0.0200804756658547,-0.81414567772926,"Hypocreales","Sordariomycetes","Hypocreales_fam_Incertae_sedis","Sarocladium"
"Seq_435","Seq_435",0.108955128347602,-0.790407730889167,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_57","Seq_57",0.474873987607993,0.781173638007049,"Rare","Laboulbeniomycetes","Unclassified","Unclassified"
"Seq_40","Seq_40",0.878823500626971,0.778587863077165,"Rare","Pezizomycetes","Pezizaceae","Peziza"
"Seq_157","Seq_157",0.108685276009927,0.777398079359888,"Helotiales","Leotiomycetes","Dermateaceae","Laetinaevia"
"Seq_172","Seq_172",0.070471924048837,0.768958030106324,"Rare","Tremellomycetes","Bulleribasidiaceae","Vishniacozyma"
"Seq_205","Seq_205",0.19019444581939,-0.767967774088239,"Pleosporales","Dothideomycetes","Didymosphaeriaceae","Pseudopithomyces"
"Seq_212","Seq_212",0.0496293472633405,-0.753841033143981,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_43","Seq_43",0.638355470129603,0.748309513600392,"Rare","Agaricomycetes","Sebacinaceae","Paulisebacina"
"Seq_147","Seq_147",0.103330494473144,0.74124283437257,"Rare","Tremellomycetes","Cystofilobasidiaceae","Cystofilobasidium"
"Seq_87","Seq_87",0.0916231388892015,-0.739590151236664,"Hypocreales","Sordariomycetes","Nectriaceae","Gibberella"
"Seq_88","Seq_88",0.856899057272244,-0.739478838159154,"Rare","Agaricomycetes","Peniophoraceae","Subulicystidium"
"Seq_65","Seq_65",1.12847324881745,-0.727594258286235,"Sordariales","Sordariomycetes","Lasiosphaeriaceae","Cercophora"
"Seq_305","Seq_305",0.140293429645872,-0.723876219607057,"Rare","Agaricomycetes","Serendipitaceae","Serendipita"
"Seq_304","Seq_304",0.171269788774188,-0.722944027634513,"Rare","Unclassified","Unclassified","Unclassified"
"Seq_20","Seq_20",1.89806223893583,0.720290612865598,"Rare","Pezizomycetes","Pezizaceae","Peziza"
"Seq_47","Seq_47",1.44093688657362,-0.709805447038964,"Rare","Sordariomycetes","Unclassified","Unclassified"
"Seq_287","Seq_287",0.0182932797205826,-0.695144898451275,"Hypocreales","Sordariomycetes","Nectriaceae","Fusarium"
"Seq_239","Seq_239",0.0507178348986733,0.68982861875527,"Rare","Agaricostilbomycetes","Chionosphaeraceae","Unclassified"
"Seq_557","Seq_557",0.039588680858871,-0.6808970070828,"Rare","Dothideomycetes","Botryosphaeriaceae","Dothiorella"
"Seq_112","Seq_112",0.229926150975562,-0.67083382877169,"Rare","Agaricomycetes","Peniophoraceae","Subulicystidium"
"Seq_224","Seq_224",0.345778304564112,-0.65835944216251,"Rare","Eurotiomycetes","Aspergillaceae","Aspergillus"
"Seq_128","Seq_128",0.0716674413876738,0.654684871423177,"Helotiales","Leotiomycetes","Helotiales_fam_Incertae_sedis","Roesleria"
