"","Shannon.Estimate","Shannon.SE","InvSimpson.Estimate","InvSimpson.SE","BP.Estimate","BP.SE"
"Green_tea_Kolluvisol_Winter_1",2.782013,0.0879749756019801,9.735618,0.307867273093332,0.245468,0.00776237972686212
"Green_tea_Kolluvisol_Winter_2",2.934445,0.092795298684928,7.556301,0.23895121845808,0.251965,0.00796783290644326
"Green_tea_Kolluvisol_Winter_3",2.607766,0.0824648016474665,6.645689,0.210155138611267,0.314326,0.00993986087810086
"Green_tea_Kolluvisol_Winter_4",2.62386,0.082973738614094,5.092966,0.161053726057971,0.422395,0.0133573027226682
"Rooibos_Kolluvisol_Winter_1",2.905964,0.0918946503845354,11.069144,0.350037067883869,0.177542,0.00561437100341614
"Rooibos_Kolluvisol_Winter_2",3.281998,0.103785889561173,15.584812,0.492835028255241,0.133266,0.00421424094659999
"Rooibos_Kolluvisol_Winter_3",3.166128,0.100121758436336,13.432537,0.424774116744852,0.164117,0.00518983522753854
"Rooibos_Kolluvisol_Winter_4",2.93347,0.0927644664777414,8.105263,0.256310921146893,0.246466,0.0077939392579106
"Green_tea_Braunerde_Winter_1",2.720317,0.0860239767767627,7.011581,0.221725659587611,0.328157,0.0103772355012787
"Green_tea_Braunerde_Winter_2",2.78654,0.088118131911656,6.432743,0.203421194825045,0.349256,0.0110444444647977
"Green_tea_Braunerde_Winter_3",2.823106,0.0892744503608731,6.57461,0.207907423273196,0.349694,0.0110582952409492
"Green_tea_Braunerde_Winter_4",2.56816,0.0812123499573803,5.858907,0.185274907191041,0.354811,0.01122010898882
"Rooibos_Braunerde_Winter_1",2.654887,0.0839548985037145,8.135946,0.257281202801363,0.266213,0.00841839422746405
"Rooibos_Braunerde_Winter_2",2.630525,0.0831845044201443,5.908864,0.186854686241732,0.365274,0.0115509781004034
"Rooibos_Braunerde_Winter_3",2.906117,0.0918994886693555,8.76216,0.27708382822821,0.221617,0.00700814488213536
"Rooibos_Braunerde_Winter_4",2.174115,0.0687515529513698,3.816891,0.120700691405977,0.480511,0.0151950920076517
"Green_tea_Auboden_Winter_1",1.700832,0.053785030372995,3.440015,0.108782825851441,0.411682,0.0130185279169344
"Green_tea_Auboden_Winter_2",1.457431,0.0460880149253686,1.980291,0.062622299899325,0.705195,0.0223002239456244
"Green_tea_Auboden_Winter_3",1.561501,0.0493789972863058,2.050117,0.0648303918983142,0.692931,0.0219124022133814
"Green_tea_Auboden_Winter_4",1.668223,0.0527538432507907,2.368386,0.0748949413845555,0.637904,0.0201722956853205
"Rooibos_Auboden_Winter_1",3.337311,0.105535040203342,16.842556,0.532608385789349,0.13846,0.00437848964826914
"Rooibos_Auboden_Winter_2",3.080413,0.0974112121399226,12.202434,0.385874844378791,0.189514,0.0059929588848915
"Rooibos_Auboden_Winter_3",2.443173,0.0772599139782656,4.292021,0.135725621252735,0.461104,0.0145813887821428
"Rooibos_Auboden_Winter_4",2.339002,0.0739657377168916,5.208756,0.16471532736068,0.377242,0.0119294394907724
"Soil_Kolluvisol_Winter_1",4.258227,0.134656961140258,36.905813,1.16706427980252,0.071584,0.00226368484025493
"Soil_Braunerde_Winter_1",4.631058,0.146446912563441,41.562267,1.31431428440053,0.095615,0.00302361178477
"Soil_Auboden_Winter_1",4.149039,0.131204133408674,22.218194,0.702600985354871,0.159746,0.00505161207101258
"Soil_Kolluvisol_Winter_2",3.717971,0.117572566344539,14.847433,0.469517056867468,0.208716,0.00660017944119703
"Soil_Braunerde_Winter_2",4.654308,0.14718214211943,50.564452,1.59898836958256,0.068965,0.00218086478833512
"Soil_Auboden_Winter_2",3.853834,0.121868931641973,19.291664,0.610055980946746,0.161098,0.00509436606497806
"Green_tea_Kolluvisol_Spring_1",2.492627,0.0788237867723253,8.087664,0.25575439190148,0.209261,0.00661741385444495
"Green_tea_Kolluvisol_Spring_3",2.09562,0.0662693231020206,4.815223,0.15227072121629,0.31508,0.00996370445165853
"Green_tea_Kolluvisol_Spring_4",2.19653,0.0694603774888965,4.965463,0.157021727172927,0.339805,0.0107455776031352
