"","Reads","S","S.obs.Estimate","S.obs.SE","S.chao1.Estimate","S.chao1.SE","S.ACE.Estimate","S.ACE.SE"
"Green_tea_Kolluvisol_Winter_1",11674,55,52.754,1.66822795684523,57.0134515873016,4.41708869377165,56.8191085300387,3.57753613284957
"Green_tea_Kolluvisol_Winter_2",20050,203,160.661,5.08054691160312,207.686924339434,18.144212487506,210.01923292088,7.48661562590088
"Green_tea_Kolluvisol_Winter_3",106614,162,87.532,2.76800488149859,115.483296007634,15.4782127106896,115.022907943889,5.53206132504027
"Green_tea_Kolluvisol_Winter_4",43484,147,104.166,3.29401814749099,131.953274600681,14.0962919383459,134.639778325736,6.0168667466307
"Rooibos_Kolluvisol_Winter_1",11325,90,86.999,2.75114994156989,91.4176545716538,3.91119625532351,91.4171667666889,4.67709131570388
"Rooibos_Kolluvisol_Winter_2",54281,226,155.378,4.91348378281642,201.872950635438,18.2818161278829,206.865498617698,7.49216368366092
"Rooibos_Kolluvisol_Winter_3",55625,228,141.799,4.48407809934216,195.064530994323,20.8633683441404,204.146200402951,7.93044867049031
"Rooibos_Kolluvisol_Winter_4",55370,200,126.398,3.99705571689963,170.947383553791,19.4519594685957,177.426897889735,7.19055400766061
"Green_tea_Braunerde_Winter_1",49268,203,128.845,4.07443665124395,174.47626428854,19.1618470032617,175.443121250968,6.9711021370724
"Green_tea_Braunerde_Winter_2",62458,219,138.581,4.38231600423794,183.973970965114,18.8030117734493,188.131652440221,7.28029982293296
"Green_tea_Braunerde_Winter_3",52467,223,146.162,4.62204827365531,189.71006465592,17.7491611157057,193.601459677246,7.3632689739132
"Green_tea_Braunerde_Winter_4",46563,178,114.689,3.62678462567051,157.523106965312,19.4049199790582,164.970023684545,6.9498389388981
"Rooibos_Braunerde_Winter_1",49492,100,75.476,2.38676068678869,91.8587855792298,10.345400947494,94.3031206808535,4.93574827971048
"Rooibos_Braunerde_Winter_2",53022,227,154.973,4.90067655829274,198.145588242343,17.3252951010276,196.594724986775,7.03776852565485
"Rooibos_Braunerde_Winter_3",48828,193,142.622,4.51010364448535,175.527453743767,13.9460355334411,182.291315533133,6.99602290457328
"Rooibos_Braunerde_Winter_4",39349,155,120.15,3.79947660869231,143.715652450182,11.4295607041445,144.285258688992,5.90036903022757
"Green_tea_Auboden_Winter_1",53185,86,57.927,1.83181258020574,74.1740842352092,11.0715592205252,74.2127814173405,4.3920646258475
"Green_tea_Auboden_Winter_2",55459,109,67.531,2.13551772668831,91.6600992140213,14.5864368400091,92.811373443493,5.03442382883376
"Green_tea_Auboden_Winter_3",64498,134,80.421,2.54313531708401,108.531525610982,15.2786312384118,109.498586023575,5.49210323181527
"Green_tea_Auboden_Winter_4",56805,93,65.121,2.05930683507825,80.7791289449929,10.561042617571,81.301203728197,4.5662861495749
"Rooibos_Auboden_Winter_1",44062,184,129.666,4.10039895083393,163.700510268804,15.5043160891502,167.568420692948,6.70560075551628
"Rooibos_Auboden_Winter_2",50258,211,137.636,4.35243248034935,182.193725926388,17.9762360366967,190.188629327497,7.48850128021794
"Rooibos_Auboden_Winter_3",59687,231,134.357,4.24874139587243,191.091771657003,22.675584273562,190.963752728621,7.38646968987216
"Rooibos_Auboden_Winter_4",57618,119,82.843,2.61972568201329,104.79438842969,12.5095310304743,108.430608165807,5.43441081428361
"Soil_Kolluvisol_Winter_1",15114,311,286.654,9.06479540397907,314.520248888333,10.7554237958749,313.102079761302,8.33899103302455
"Soil_Braunerde_Winter_1",61914,696,483.955,15.3040008502679,619.440170618442,29.7664066914553,617.92706197291,12.3784875963696
"Soil_Auboden_Winter_1",48053,547,403.282,12.7528965934802,504.914756125079,24.1583438636665,518.205448009327,11.5344678562814
"Soil_Kolluvisol_Winter_2",12137,250,239.299,7.56729881800633,253.015117025932,6.56725196415196,256.616928186069,7.65143893634458
"Soil_Braunerde_Winter_2",16932,377,346.456,10.955900690313,377.277799582544,11.0620702955387,378.754650939032,9.39574340125144
"Soil_Auboden_Winter_2",10273,238,227.505,7.19433979076607,250.265438098948,9.96068135363626,249.204438695365,7.6254414497246
"Green_tea_Kolluvisol_Spring_1",16176,52,51.112,1.61630335766526,51.7667714285714,1.15047956676341,51.7229502266165,3.52083545232387
"Green_tea_Kolluvisol_Spring_3",13576,71,65.146,2.06009740449329,73.1071117513206,5.97029852913845,75.5960614947078,4.36406460487478
"Green_tea_Kolluvisol_Spring_4",13972,72,65.286,2.06452459321753,76.2249307359307,8.83326845436609,71.8766874783285,4.15281017541827
"Rooibos_Kolluvisol_Spring_1",15007,70,65.96,2.08583834464706,70.6539961011211,4.25099272301449,71.1426452516537,4.14854613800915
"Rooibos_Kolluvisol_Spring_2",14060,58,54.003,1.70772480482073,58.6167858946609,4.49010066152911,58.3862493542275,3.73948679701989
"Rooibos_Kolluvisol_Spring_3",12611,60,56.861,1.79810270034834,61.2406783549784,4.34628426132179,60.1047187290764,3.75571386511523
"Rooibos_Kolluvisol_Spring_4",12450,118,109.342,3.45769763918131,121.824764758516,7.30165353653894,122.939676379915,5.35081262561571
"Green_tea_Braunerde_Spring_1",10843,54,51.651,1.63334803425357,56.0975981962482,4.25815043898098,57.1220638794804,3.69593538217348
"Green_tea_Braunerde_Spring_2",10054,85,81.809,2.58702773100715,90.2496186840937,6.52607696883697,89.9653716444243,4.69388550900378
"Green_tea_Braunerde_Spring_3",11746,67,64.765,2.04804912660805,67.9940371128871,3.27483427118981,67.9566782032223,4.00855771082546
"Green_tea_Braunerde_Spring_4",13050,85,80.498,2.54557027088234,86.0869408575901,4.54636967347041,86.7931023124784,4.56899673882937
"Rooibos_Braunerde_Spring_1",9411,144,140.606,4.44635212685635,150.124992323291,6.31483469817857,149.292093545611,5.99973882729161
"Rooibos_Braunerde_Spring_2",13231,71,64.085,2.02654563851891,73.5515674145299,6.67755254592156,74.5828458528153,4.20151745862713
"Rooibos_Braunerde_Spring_3",11016,73,69.483,2.1972453866148,74.9837430761232,4.47299662953094,75.7328994276706,4.19397433844807
"Green_tea_Auboden_Spring_1",13392,57,53.775,1.70051481175555,57.8565616827617,3.95866522605407,58.9824280990668,3.73846110412527
"Green_tea_Auboden_Spring_2",12855,57,53.464,1.69068012823242,58.4960027777778,5.02849095780623,57.9057721988231,3.69872318194045
"Green_tea_Auboden_Spring_3",12649,60,55.73,1.76233734001184,62.7050605672106,6.06358685947777,62.6328544277789,3.89300387221405
"Green_tea_Auboden_Spring_4",15527,52,47.3,1.49575733325964,53.2122561688312,5.50813293710623,53.0398718391843,3.58357347612278
"Rooibos_Auboden_Spring_1",10498,69,65.953,2.08561698521085,73.0018545815296,6.16850893201459,71.4078805922462,4.10157507206415
"Rooibos_Auboden_Spring_2",13085,65,61.615,1.94843738031275,65.2593464230214,3.69167235557565,65.4616871154248,3.97497296074749
"Rooibos_Auboden_Spring_3",16755,77,67.663,2.13969193319973,79.4725054608017,8.18504315295316,80.1162166935705,4.44472485825762
"Rooibos_Auboden_Spring_4",13574,76,71.82,2.27114781553293,77.1545465007215,4.5047900789638,78.1341279799016,4.36739386331779
"Soil_Kolluvisol_Spring_1",8335,248,245.92,7.77667322188608,252.387062275252,3.99660640819917,254.609080487959,7.62293788444455
"Soil_Braunerde_Spring_1",11421,310,296.355,9.371567959792,317.770679213993,8.88165591121033,320.035176271006,8.6992480996062
"Soil_Auboden_Spring_1",10583,260,251.6,7.95629059298364,265.183868497339,6.54334198387854,267.038685551493,7.67320571828057
"Soil_Kolluvisol_Spring_2",9593,203,198.212,6.26801379577295,209.27194010777,6.33959747928428,207.736206298286,6.92095193681601
"Soil_Braunerde_Spring_2",16323,343,319.026,10.0884879281288,344.314259617767,9.77617071859321,346.684668309333,9.00019466189005
"Soil_Auboden_Spring_2",22105,225,205.356,6.49392691181538,223.154775362599,8.25434468184734,225.543507223671,7.27115555600507
"Green_tea_Kolluvisol_Summer_2",13902,52,50.167,1.58641983377667,52.3189100649351,2.57572723628909,53.0767295506405,3.60549735689498
"Green_tea_Kolluvisol_Summer_3",11659,36,35.688,1.12855365136089,36.0210833333333,0.767399373535282,36.0544344980857,2.89073390559454
"Rooibos_Kolluvisol_Summer_1",11505,70,67.978,2.14965310782926,70.4409434343434,2.70335161868484,71.0683696455153,4.14721888524769
"Rooibos_Kolluvisol_Summer_2",17476,99,92.575,2.92747854390088,98.3013976578977,5.0651044917921,96.8154691020991,4.83685552771337
