Boden	Soil	Month	Season	S	k	pH	P_mg_kg	K_mg_kg	TOC_perc	Humus_perc	N_tot_perc	KMnO4_oidis_C_mg_kg	N_deliverable_mg_kg_7d	sand_perc	silt_perc	clay_perc
Kolluvisol	Luvisol	Dec17	Winter	NA	NA	7.34	163	345	1.84	3.2	0.13	522	146.35	15.8	63.1	21.1
Braunerde	Cambisol	Dec17	Winter	NA	NA	7.08	173	645	3.02	5.2	0.12	780	178.61	41.6	39.1	19.3
Auboden	Fluvisol	Dec17	Winter	NA	NA	7.09	138	716	3.39	5.8	0.31	967	218.32	31.2	45.3	23.6
Kolluvisol	Luvisol	March18	Spring	0.37	0.01	7.27	143	323	1.71	2.9	0.17	582	104.08	NA	NA	NA
Kolluvisol	Luvisol	March18	Spring	0.36	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kolluvisol	Luvisol	March18	Spring	0.39	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kolluvisol	Luvisol	March18	Spring	0.39	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	March18	Spring	0.44	0.02	7.07	203	696	2.67	4.6	0.24	776	164.95	NA	NA	NA
Braunerde	Cambisol	March18	Spring	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	March18	Spring	0.45	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	March18	Spring	0.41	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auboden	Fluvisol	March18	Spring	0.4	0.01	7.17	155	474	1.92	3.3	0.2	650	54.21	NA	NA	NA
Auboden	Fluvisol	March18	Spring	0.38	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auboden	Fluvisol	March18	Spring	0.31	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auboden	Fluvisol	March18	Spring	0.35	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kolluvisol	Luvisol	June18	Summer	0.42	0.03	7.39	108	282	1.65	2.8	0.16	550	107.36	NA	NA	NA
Kolluvisol	Luvisol	June18	Summer	0.39	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kolluvisol	Luvisol	June18	Summer	0.4	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kolluvisol	Luvisol	June18	Summer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	June18	Summer	0.38	0.01	7.17	191	624	2.52	4.3	0.25	774	185.23	NA	NA	NA
Braunerde	Cambisol	June18	Summer	0.5	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	June18	Summer	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Braunerde	Cambisol	June18	Summer	0.38	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auboden	Fluvisol	June18	Summer	0.34	0	7.22	141	578	2.34	4	0.23	744	126.02	NA	NA	NA
